obj_name,PRMAGIC_1_best_iter
0_class-760,5
1_class-760,3
2_class-760,3
3_class-760,2
4_class-760,5
5_class-760,1
6_class-760,4
7_class-760,0
8_class-760,2
9_class-760,2
10_class-761,5
11_class-761,1
12_class-761,3
13_class-761,1
14_class-761,5
15_class-761,5
16_class-761,4
17_class-761,3
18_class-761,5
19_class-761,5
20_class-762,5
21_class-762,3
22_class-762,2
23_class-762,2
24_class-762,0
25_class-762,4
26_class-762,3
27_class-762,2
28_class-762,3
29_class-762,2
30_class-763,4
31_class-763,2
32_class-763,4
33_class-763,5
34_class-763,3
35_class-763,4
36_class-763,2
37_class-763,3
38_class-763,0
39_class-763,2
40_class-764,4
41_class-764,4
42_class-764,0
43_class-764,2
44_class-764,2
45_class-764,1
46_class-764,4
47_class-764,1
48_class-764,4
49_class-764,3
50_class-765,1
51_class-765,5
52_class-765,5
53_class-765,0
54_class-765,2
55_class-765,2
56_class-765,4
57_class-765,5
58_class-765,4
59_class-765,2
60_class-766,3
61_class-766,3
62_class-766,3
63_class-766,2
64_class-766,5
65_class-766,4
66_class-766,3
67_class-766,0
68_class-766,5
69_class-766,2
70_class-767,4
71_class-767,5
72_class-767,2
73_class-767,4
74_class-767,1
75_class-767,1
76_class-767,0
77_class-767,0
78_class-767,1
79_class-767,2
80_class-768,2
81_class-768,3
82_class-768,1
83_class-768,3
84_class-768,4
85_class-768,1
86_class-768,5
87_class-768,1
88_class-768,3
89_class-768,3
90_class-769,4
91_class-769,5
92_class-769,0
93_class-769,2
94_class-769,1
95_class-769,3
96_class-769,5
97_class-769,1
98_class-769,0
99_class-769,5
