obj_name,PRMAGIC_1_best_iter
0_class-0,4
1_class-72,2
2_class-68,4
3_class-76,5
4_class-36,4
5_class-56,3
6_class-48,2
7_class-36,2
8_class-40,4
9_class-4,2
10_class-0,0
11_class-68,0
12_class-40,0
13_class-36,2
14_class-28,1
15_class-72,0
16_class-52,5
17_class-32,4
18_class-72,3
19_class-12,3
20_class-48,5
21_class-60,4
22_class-4,0
23_class-60,3
24_class-32,5
25_class-60,4
26_class-52,3
27_class-24,0
28_class-64,1
29_class-40,5
30_class-40,0
31_class-24,3
32_class-28,1
33_class-16,0
34_class-52,5
35_class-76,0
36_class-76,5
37_class-36,4
38_class-60,2
39_class-48,2
40_class-64,4
41_class-12,3
42_class-36,5
43_class-44,2
44_class-32,3
45_class-56,2
46_class-4,4
47_class-24,2
48_class-64,3
49_class-36,3
50_class-60,4
51_class-16,0
52_class-76,0
53_class-0,1
54_class-52,2
55_class-28,1
56_class-76,1
57_class-60,2
58_class-20,5
59_class-76,5
60_class-56,5
61_class-60,5
62_class-32,5
63_class-36,4
64_class-52,5
65_class-12,5
66_class-24,0
67_class-56,0
68_class-0,1
69_class-36,5
70_class-0,1
71_class-32,1
72_class-72,5
73_class-32,1
74_class-20,3
75_class-24,1
76_class-0,3
77_class-0,1
78_class-44,1
79_class-36,0
80_class-56,3
81_class-52,4
82_class-32,1
83_class-28,1
84_class-44,3
85_class-60,5
86_class-72,2
87_class-56,0
88_class-44,3
89_class-4,3
90_class-20,2
91_class-76,5
92_class-28,1
93_class-64,3
94_class-32,3
95_class-32,4
96_class-48,5
97_class-28,4
98_class-24,4
99_class-48,5
100_class-44,5
101_class-64,0
102_class-40,4
103_class-48,5
104_class-4,2
105_class-4,5
106_class-20,5
107_class-12,2
108_class-28,5
109_class-52,5
110_class-60,3
111_class-56,1
112_class-4,5
113_class-28,3
114_class-52,2
115_class-4,0
116_class-20,5
117_class-0,3
118_class-24,2
119_class-48,1
120_class-8,2
121_class-44,0
122_class-60,1
123_class-72,4
124_class-8,3
125_class-36,2
126_class-44,1
127_class-40,0
128_class-32,1
129_class-0,2
130_class-68,1
131_class-24,1
132_class-44,2
133_class-20,1
134_class-64,5
135_class-60,3
136_class-68,4
137_class-56,1
138_class-56,4
139_class-36,2
140_class-4,3
141_class-60,2
142_class-76,0
143_class-16,4
144_class-60,2
145_class-24,2
146_class-4,3
147_class-36,3
148_class-12,0
149_class-20,4
150_class-60,4
151_class-4,5
152_class-0,0
153_class-36,5
154_class-28,3
155_class-48,2
156_class-48,5
157_class-8,1
158_class-4,5
159_class-76,0
160_class-56,3
161_class-24,5
162_class-64,3
163_class-36,0
164_class-8,1
165_class-36,1
166_class-48,2
167_class-52,1
168_class-68,3
169_class-40,0
170_class-76,5
171_class-0,4
172_class-76,2
173_class-24,3
174_class-72,2
175_class-52,1
176_class-24,1
177_class-16,1
178_class-48,0
179_class-4,2
180_class-0,5
181_class-16,5
182_class-68,1
183_class-36,5
184_class-20,3
185_class-16,5
186_class-72,0
187_class-64,5
188_class-24,3
189_class-76,2
190_class-4,1
191_class-24,1
192_class-4,1
193_class-24,3
194_class-44,1
195_class-36,1
196_class-64,1
197_class-36,1
198_class-48,4
199_class-12,4
200_class-12,1
201_class-36,1
202_class-64,2
203_class-4,4
204_class-44,4
205_class-4,5
206_class-64,4
207_class-52,0
208_class-20,2
209_class-28,3
210_class-48,5
211_class-36,5
212_class-64,0
213_class-52,1
214_class-64,1
215_class-28,3
216_class-40,5
217_class-20,3
218_class-0,4
219_class-24,0
220_class-64,3
221_class-16,5
222_class-40,4
223_class-12,3
224_class-76,1
225_class-24,5
226_class-28,1
227_class-48,2
228_class-20,2
229_class-56,0
230_class-64,3
231_class-72,4
232_class-32,3
233_class-20,5
234_class-0,4
235_class-68,3
236_class-28,1
237_class-0,1
238_class-44,5
239_class-12,5
240_class-56,3
241_class-64,4
242_class-0,2
243_class-48,3
244_class-32,4
245_class-60,1
246_class-4,3
247_class-8,4
248_class-44,1
249_class-8,1
250_class-72,3
251_class-8,3
252_class-56,2
253_class-72,1
254_class-64,3
255_class-20,5
256_class-32,1
257_class-48,1
258_class-68,5
259_class-64,5
260_class-52,1
261_class-8,4
262_class-44,5
263_class-44,0
264_class-68,1
265_class-24,5
266_class-20,4
267_class-12,1
268_class-56,2
269_class-52,0
270_class-4,4
271_class-72,4
272_class-16,0
273_class-40,5
274_class-48,3
275_class-16,4
276_class-20,4
277_class-44,2
278_class-24,5
279_class-60,2
280_class-68,5
281_class-76,3
282_class-56,3
283_class-24,3
284_class-24,2
285_class-64,4
286_class-72,5
287_class-12,0
288_class-0,3
289_class-56,1
290_class-0,3
291_class-52,5
292_class-32,2
293_class-4,2
294_class-24,5
295_class-8,1
296_class-76,1
297_class-32,1
298_class-4,3
299_class-40,0
