sample_id,seed,obj_name,baseline_miou,original_miou,support_fg_miou,original_iter,support_fg_iter,support_fg_fallback,original_non_degraded,support_fg_non_degraded,delta_support_fg_vs_original,delta_original_vs_baseline,delta_support_fg_vs_baseline
seed45:0_class-0,45,0_class-0,0.93480682,0.93480682,0.93480682,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed45:1_class-72,45,1_class-72,0.45375180,0.40315998,0.45375180,1,0,1,0,1,0.05059183,-0.05059183,0.00000000
seed45:2_class-68,45,2_class-68,0.17848571,0.16467592,0.17848571,1,0,1,0,1,0.01380979,-0.01380979,0.00000000
seed45:3_class-76,45,3_class-76,0.15649286,0.17058115,0.17058115,2,2,0,1,1,0.00000000,0.01408829,0.01408829
seed45:4_class-36,45,4_class-36,0.48514670,0.48888099,0.48888099,1,1,0,1,1,0.00000000,0.00373429,0.00373429
seed45:5_class-56,45,5_class-56,0.43561703,0.42641732,0.43561703,1,0,1,0,1,0.00919971,-0.00919971,0.00000000
seed45:6_class-48,45,6_class-48,0.43419665,0.43427786,0.43419665,2,0,1,1,1,-0.00008121,0.00008121,0.00000000
seed45:7_class-36,45,7_class-36,0.47439662,0.47613519,0.47439662,2,0,1,1,1,-0.00173858,0.00173858,0.00000000
seed45:8_class-40,45,8_class-40,0.95710289,0.96712971,0.96712971,5,5,0,1,1,0.00000000,0.01002681,0.01002681
seed45:9_class-4,45,9_class-4,0.94207859,0.93924570,0.93924570,4,4,0,0,0,0.00000000,-0.00283289,-0.00283289
seed45:10_class-0,45,10_class-0,0.27115166,0.27115726,0.27115166,2,0,1,1,1,-0.00000560,0.00000560,0.00000000
seed45:11_class-68,45,11_class-68,0.53437197,0.46728468,0.46728468,3,3,0,0,0,0.00000000,-0.06708729,-0.06708729
seed45:12_class-40,45,12_class-40,0.47491840,0.46477392,0.46477392,4,4,0,0,0,0.00000000,-0.01014447,-0.01014447
seed45:13_class-36,45,13_class-36,0.76245356,0.60556650,0.60556650,1,1,0,0,0,0.00000000,-0.15688705,-0.15688705
seed45:14_class-28,45,14_class-28,0.47834170,0.54363054,0.47834170,2,0,1,1,1,-0.06528884,0.06528884,0.00000000
seed45:15_class-72,45,15_class-72,0.44298685,0.44312659,0.44298685,3,0,1,1,1,-0.00013974,0.00013974,0.00000000
