obj_name,PRMAGIC_1_best_iter
0_class-0,2
1_class-72,4
2_class-68,3
3_class-76,5
4_class-36,1
5_class-56,0
6_class-48,1
7_class-36,5
8_class-40,2
9_class-4,3
10_class-0,4
11_class-68,3
12_class-40,1
13_class-36,5
14_class-28,0
15_class-72,5
16_class-52,0
17_class-32,3
18_class-72,4
19_class-12,5
20_class-48,0
21_class-60,3
22_class-4,2
23_class-60,5
24_class-32,4
25_class-60,0
26_class-52,1
27_class-24,5
28_class-64,5
29_class-40,2
30_class-40,1
31_class-24,3
32_class-28,0
33_class-16,0
34_class-52,1
35_class-76,1
36_class-76,4
37_class-36,5
38_class-60,1
39_class-48,0
40_class-64,4
41_class-12,0
42_class-36,1
43_class-44,5
44_class-32,1
45_class-56,2
46_class-4,3
47_class-24,3
48_class-64,5
49_class-36,3
50_class-60,2
51_class-16,4
52_class-76,1
53_class-0,0
54_class-52,4
55_class-28,2
56_class-76,5
57_class-60,0
58_class-20,0
59_class-76,1
60_class-56,0
61_class-60,5
62_class-32,5
63_class-36,3
64_class-52,5
65_class-12,3
66_class-24,4
67_class-56,0
68_class-0,3
69_class-36,3
70_class-0,0
71_class-32,2
72_class-72,3
73_class-32,1
74_class-20,4
75_class-24,0
76_class-0,4
77_class-0,5
78_class-44,3
79_class-36,4
80_class-56,1
81_class-52,1
82_class-32,1
83_class-28,3
84_class-44,4
85_class-60,4
86_class-72,5
87_class-56,1
88_class-44,4
89_class-4,5
90_class-20,4
91_class-76,1
92_class-28,0
93_class-64,5
94_class-32,3
95_class-32,0
96_class-48,4
97_class-28,0
98_class-24,0
99_class-48,1
100_class-44,0
101_class-64,4
102_class-40,1
103_class-48,0
104_class-4,4
105_class-4,1
106_class-20,2
107_class-12,2
108_class-28,1
109_class-52,5
110_class-60,5
111_class-56,4
112_class-4,4
113_class-28,3
114_class-52,3
115_class-4,0
116_class-20,5
117_class-0,1
118_class-24,2
119_class-48,2
120_class-8,0
121_class-44,1
122_class-60,4
123_class-72,1
124_class-8,2
125_class-36,5
126_class-44,2
127_class-40,0
128_class-32,1
129_class-0,4
130_class-68,1
131_class-24,3
132_class-44,4
133_class-20,0
134_class-64,0
135_class-60,4
136_class-68,0
137_class-56,3
138_class-56,3
139_class-36,1
140_class-4,3
141_class-60,5
142_class-76,4
143_class-16,3
144_class-60,2
145_class-24,3
146_class-4,2
147_class-36,2
148_class-12,5
149_class-20,0
150_class-60,2
151_class-4,0
152_class-0,0
153_class-36,1
154_class-28,4
155_class-48,4
156_class-48,2
157_class-8,4
158_class-4,4
159_class-76,5
160_class-56,0
161_class-24,4
162_class-64,3
163_class-36,2
164_class-8,2
165_class-36,5
166_class-48,0
167_class-52,1
168_class-68,4
169_class-40,4
170_class-76,2
171_class-0,1
172_class-76,2
173_class-24,1
174_class-72,2
175_class-52,0
176_class-24,2
177_class-16,3
178_class-48,4
179_class-4,2
180_class-0,1
181_class-16,1
182_class-68,2
183_class-36,5
184_class-20,0
185_class-16,3
186_class-72,5
187_class-64,0
188_class-24,4
189_class-76,2
190_class-4,5
191_class-24,0
192_class-4,3
193_class-24,3
194_class-44,4
195_class-36,2
196_class-64,1
197_class-36,5
198_class-48,1
199_class-12,5
200_class-12,5
201_class-36,4
202_class-64,4
203_class-4,3
204_class-44,1
205_class-4,2
206_class-64,4
207_class-52,1
208_class-20,3
209_class-28,0
210_class-48,0
211_class-36,2
212_class-64,1
213_class-52,1
214_class-64,0
215_class-28,3
216_class-40,0
217_class-20,2
218_class-0,1
219_class-24,1
220_class-64,4
221_class-16,4
222_class-40,0
223_class-12,3
224_class-76,5
225_class-24,4
226_class-28,1
227_class-48,4
228_class-20,3
229_class-56,1
230_class-64,4
231_class-72,1
232_class-32,5
233_class-20,0
234_class-0,4
235_class-68,4
236_class-28,3
237_class-0,0
238_class-44,4
239_class-12,3
240_class-56,3
241_class-64,3
242_class-0,0
243_class-48,0
244_class-32,0
245_class-60,5
246_class-4,0
247_class-8,4
248_class-44,2
249_class-8,4
250_class-72,0
251_class-8,1
252_class-56,0
253_class-72,4
254_class-64,2
255_class-20,1
256_class-32,4
257_class-48,2
258_class-68,2
259_class-64,3
260_class-52,4
261_class-8,3
262_class-44,4
263_class-44,1
264_class-68,3
265_class-24,0
266_class-20,0
267_class-12,5
268_class-56,2
269_class-52,0
270_class-4,2
271_class-72,5
272_class-16,1
273_class-40,3
274_class-48,5
275_class-16,3
276_class-20,3
277_class-44,1
278_class-24,0
279_class-60,5
280_class-68,2
281_class-76,3
282_class-56,0
283_class-24,0
284_class-24,5
285_class-64,5
286_class-72,2
287_class-12,2
288_class-0,2
289_class-56,2
290_class-0,0
291_class-52,5
292_class-32,5
293_class-4,1
294_class-24,1
295_class-8,4
296_class-76,5
297_class-32,1
298_class-4,3
299_class-40,2
300_class-76,1
301_class-60,2
302_class-72,1
303_class-0,4
304_class-68,3
305_class-24,1
306_class-40,3
307_class-76,1
308_class-20,4
309_class-60,2
310_class-76,3
311_class-64,5
312_class-24,3
313_class-12,2
314_class-36,5
315_class-56,3
316_class-16,2
317_class-72,5
318_class-24,1
319_class-20,5
320_class-28,5
321_class-44,1
322_class-72,1
323_class-76,4
324_class-56,0
325_class-12,3
326_class-68,0
327_class-64,0
328_class-48,5
329_class-28,3
330_class-48,0
331_class-8,2
332_class-40,0
333_class-64,4
334_class-8,0
335_class-68,5
336_class-76,5
337_class-48,3
338_class-48,2
339_class-56,5
340_class-12,4
341_class-48,1
342_class-28,4
343_class-16,2
344_class-20,0
345_class-72,0
346_class-16,2
347_class-64,5
348_class-56,2
349_class-40,2
350_class-24,0
351_class-76,2
352_class-36,4
353_class-0,4
354_class-76,3
355_class-36,2
356_class-28,2
357_class-20,1
358_class-8,0
359_class-8,4
360_class-24,0
361_class-16,3
362_class-68,0
363_class-8,1
364_class-48,2
365_class-16,5
366_class-64,4
367_class-48,3
368_class-20,2
369_class-72,5
370_class-68,0
371_class-44,5
372_class-0,0
373_class-72,2
374_class-4,5
375_class-44,4
376_class-0,1
377_class-16,2
378_class-76,2
379_class-16,2
380_class-24,3
381_class-16,3
382_class-4,1
383_class-64,3
384_class-64,2
385_class-76,0
386_class-24,1
387_class-64,5
388_class-24,5
389_class-20,5
390_class-72,4
391_class-64,3
392_class-36,1
393_class-60,2
394_class-4,3
395_class-16,1
396_class-44,3
397_class-12,4
398_class-36,5
399_class-32,3
400_class-72,3
401_class-48,1
402_class-68,3
403_class-64,5
404_class-56,3
405_class-4,5
406_class-72,1
407_class-0,3
408_class-64,5
409_class-24,0
410_class-12,3
411_class-24,0
412_class-44,0
413_class-44,2
414_class-28,5
415_class-64,2
416_class-52,2
417_class-24,5
418_class-52,2
419_class-48,1
420_class-12,4
421_class-68,0
422_class-56,1
423_class-12,5
424_class-52,4
425_class-4,2
426_class-72,3
427_class-52,5
428_class-60,2
429_class-0,0
430_class-32,5
431_class-68,4
432_class-72,4
433_class-0,0
434_class-68,4
435_class-32,1
436_class-48,5
437_class-16,5
438_class-20,0
439_class-36,2
440_class-32,4
441_class-36,0
442_class-60,0
443_class-4,0
444_class-28,1
445_class-68,1
446_class-64,0
447_class-76,1
448_class-56,4
449_class-28,1
450_class-52,0
451_class-76,4
452_class-68,2
453_class-60,4
454_class-12,3
455_class-0,0
456_class-28,2
457_class-36,3
458_class-72,1
459_class-32,1
460_class-52,1
461_class-64,3
462_class-36,5
463_class-4,4
464_class-20,4
465_class-20,4
466_class-28,3
467_class-0,3
468_class-40,2
469_class-76,2
470_class-72,1
471_class-52,4
472_class-32,1
473_class-40,3
474_class-24,2
475_class-64,1
476_class-52,0
477_class-16,4
478_class-24,0
479_class-56,3
480_class-56,1
481_class-36,4
482_class-48,1
483_class-64,0
484_class-0,0
485_class-12,3
486_class-76,0
487_class-16,4
488_class-52,3
489_class-0,2
490_class-64,2
491_class-32,2
492_class-48,3
493_class-36,0
494_class-40,2
495_class-52,2
496_class-4,3
497_class-72,5
498_class-44,2
499_class-28,1
500_class-0,2
501_class-4,2
502_class-76,2
503_class-44,3
504_class-12,4
505_class-20,0
506_class-44,5
507_class-24,2
508_class-64,1
509_class-0,3
510_class-72,1
511_class-64,0
512_class-72,5
513_class-20,5
514_class-8,5
515_class-28,0
516_class-32,0
517_class-68,3
518_class-64,5
519_class-64,4
520_class-48,3
521_class-0,0
522_class-24,1
523_class-72,2
524_class-64,0
525_class-48,1
526_class-60,0
527_class-40,5
528_class-52,4
529_class-64,4
530_class-72,1
531_class-8,3
532_class-0,2
533_class-64,2
534_class-28,4
535_class-48,2
536_class-60,1
537_class-68,0
538_class-8,1
539_class-28,1
540_class-56,3
541_class-32,0
542_class-40,2
543_class-48,4
544_class-28,0
545_class-24,1
546_class-12,0
547_class-32,4
548_class-68,3
549_class-36,0
550_class-12,0
551_class-28,2
552_class-28,3
553_class-48,3
554_class-48,2
555_class-48,3
556_class-24,2
557_class-32,2
558_class-56,3
559_class-72,2
560_class-72,0
561_class-72,3
562_class-24,5
563_class-44,5
564_class-0,1
565_class-36,0
566_class-0,0
567_class-68,0
568_class-52,3
569_class-36,3
570_class-20,4
571_class-44,1
572_class-4,3
573_class-32,2
574_class-24,4
575_class-32,4
576_class-76,4
577_class-60,3
578_class-64,4
579_class-64,4
580_class-32,4
581_class-8,2
582_class-8,3
583_class-28,0
584_class-20,0
585_class-48,2
586_class-12,1
587_class-76,2
588_class-24,3
589_class-60,1
590_class-72,0
591_class-56,5
592_class-32,4
593_class-12,5
594_class-24,2
595_class-68,4
596_class-24,4
597_class-28,5
598_class-4,3
599_class-20,3
600_class-40,5
601_class-72,4
602_class-76,0
603_class-60,2
604_class-52,2
605_class-0,4
606_class-36,0
607_class-32,0
608_class-8,3
609_class-24,5
610_class-36,2
611_class-16,1
612_class-4,5
613_class-56,0
614_class-32,5
615_class-0,1
616_class-12,3
617_class-20,4
618_class-64,0
619_class-56,0
620_class-64,1
621_class-60,5
622_class-60,0
623_class-52,5
624_class-56,3
625_class-8,3
626_class-12,2
627_class-8,0
628_class-48,2
629_class-28,5
630_class-36,1
631_class-28,0
632_class-36,4
633_class-76,5
634_class-36,3
635_class-60,3
636_class-4,4
637_class-76,4
638_class-60,0
639_class-32,2
640_class-36,1
641_class-60,3
642_class-8,4
643_class-12,3
644_class-24,3
645_class-72,1
646_class-8,0
647_class-56,1
648_class-76,0
649_class-28,2
650_class-8,2
651_class-0,4
652_class-52,0
653_class-76,5
654_class-20,1
655_class-40,1
656_class-20,0
657_class-56,5
658_class-60,5
659_class-16,1
660_class-68,4
661_class-68,0
662_class-60,0
663_class-8,3
664_class-4,3
665_class-48,1
666_class-36,0
667_class-72,3
668_class-28,0
669_class-68,4
670_class-52,3
671_class-40,0
672_class-36,0
