obj_name,PRMAGIC_1_best_iter
0_class-3,4
1_class-63,3
2_class-27,1
3_class-3,1
4_class-31,2
5_class-23,0
6_class-63,3
7_class-3,2
8_class-43,1
9_class-23,5
10_class-59,4
11_class-27,1
12_class-79,1
13_class-27,4
14_class-51,5
15_class-47,1
16_class-39,1
17_class-35,2
18_class-75,2
19_class-39,3
20_class-15,5
21_class-19,2
22_class-27,3
23_class-39,4
24_class-19,1
25_class-35,1
26_class-71,4
27_class-75,0
28_class-11,2
29_class-67,5
30_class-7,0
31_class-27,5
32_class-55,3
33_class-75,4
34_class-15,1
35_class-35,1
36_class-51,0
37_class-19,3
38_class-55,0
39_class-55,5
40_class-51,5
41_class-79,1
42_class-15,3
43_class-27,1
44_class-11,5
45_class-19,0
46_class-71,4
47_class-7,0
48_class-43,1
49_class-39,1
50_class-59,2
51_class-39,5
52_class-7,2
53_class-27,2
54_class-23,2
55_class-51,1
56_class-75,4
57_class-15,0
58_class-31,4
59_class-39,3
60_class-27,5
61_class-31,4
62_class-67,5
63_class-39,1
64_class-11,0
65_class-55,3
66_class-35,0
67_class-67,5
68_class-63,0
69_class-35,2
70_class-67,2
71_class-31,1
72_class-39,1
73_class-75,1
74_class-59,5
75_class-71,1
76_class-11,1
77_class-23,3
78_class-75,5
79_class-39,1
80_class-35,2
81_class-51,0
82_class-59,3
83_class-59,0
84_class-23,3
85_class-31,3
86_class-63,0
87_class-55,2
88_class-23,0
89_class-7,4
90_class-7,0
91_class-15,3
92_class-51,1
93_class-51,4
94_class-71,3
95_class-43,1
96_class-31,2
97_class-43,4
98_class-11,0
99_class-55,0
100_class-79,2
101_class-59,4
102_class-67,1
103_class-39,0
104_class-27,0
105_class-11,4
106_class-11,0
107_class-23,2
108_class-63,4
109_class-23,5
110_class-79,5
111_class-75,1
112_class-3,5
113_class-19,5
114_class-11,4
115_class-67,2
116_class-15,1
117_class-27,5
118_class-71,4
119_class-63,5
120_class-71,0
121_class-27,1
122_class-67,5
123_class-39,2
124_class-23,2
125_class-43,0
126_class-39,4
127_class-79,4
128_class-59,0
129_class-31,1
130_class-15,1
131_class-31,0
132_class-43,4
133_class-47,2
134_class-19,2
135_class-15,1
136_class-19,3
137_class-7,0
138_class-67,1
139_class-79,3
140_class-55,5
141_class-11,3
142_class-67,5
143_class-51,1
144_class-75,0
145_class-15,4
146_class-67,2
147_class-51,0
148_class-59,0
149_class-35,5
150_class-63,4
151_class-43,1
152_class-75,4
153_class-35,2
154_class-19,4
155_class-39,4
156_class-43,4
157_class-59,0
158_class-27,0
159_class-59,4
160_class-23,4
161_class-27,5
162_class-35,4
163_class-47,2
164_class-27,3
165_class-59,4
166_class-39,5
167_class-79,2
168_class-3,4
169_class-63,1
170_class-11,3
171_class-23,5
172_class-27,2
173_class-35,2
174_class-51,3
175_class-63,1
176_class-51,4
177_class-23,0
178_class-63,0
179_class-43,5
180_class-15,4
181_class-35,2
182_class-15,4
183_class-39,0
184_class-15,4
185_class-51,2
186_class-51,3
187_class-71,1
188_class-31,1
189_class-11,0
190_class-19,3
191_class-23,1
192_class-11,3
193_class-55,0
194_class-11,4
195_class-43,3
196_class-75,1
197_class-39,0
198_class-15,0
199_class-7,5
200_class-39,3
201_class-75,5
202_class-11,0
203_class-79,4
204_class-19,5
205_class-55,5
206_class-43,2
207_class-55,5
208_class-3,2
209_class-43,5
210_class-71,0
211_class-43,5
212_class-79,2
213_class-67,1
214_class-55,2
215_class-47,1
216_class-11,5
217_class-7,0
218_class-23,1
219_class-7,2
220_class-55,2
221_class-51,4
222_class-11,3
223_class-67,5
224_class-15,5
225_class-59,0
226_class-15,1
227_class-23,2
228_class-7,4
229_class-35,1
230_class-3,2
231_class-55,2
232_class-47,3
233_class-31,1
234_class-71,3
235_class-43,5
236_class-55,3
237_class-7,4
238_class-47,3
239_class-59,3
240_class-67,1
241_class-3,0
242_class-79,5
243_class-35,0
244_class-79,5
245_class-71,0
246_class-11,5
247_class-27,1
248_class-15,2
249_class-11,2
250_class-79,5
251_class-31,4
252_class-51,3
253_class-15,1
254_class-59,2
255_class-27,3
256_class-15,0
257_class-11,1
258_class-47,2
259_class-11,5
260_class-23,4
261_class-7,2
262_class-23,4
263_class-27,4
264_class-63,2
265_class-31,5
266_class-3,2
267_class-39,4
268_class-47,1
269_class-19,4
270_class-31,3
271_class-15,2
272_class-43,1
273_class-19,3
274_class-55,2
275_class-35,0
276_class-75,0
277_class-3,2
278_class-39,2
279_class-67,1
280_class-39,3
281_class-23,2
282_class-79,3
283_class-39,0
284_class-47,0
285_class-3,3
286_class-3,0
287_class-63,1
288_class-39,5
289_class-71,5
290_class-51,5
291_class-31,2
292_class-47,3
293_class-43,3
294_class-39,5
295_class-55,4
296_class-19,3
297_class-15,3
298_class-75,4
299_class-3,0
300_class-59,1
301_class-51,3
302_class-43,5
303_class-3,1
304_class-63,1
305_class-47,2
306_class-59,2
307_class-31,1
308_class-79,0
309_class-43,3
310_class-71,3
311_class-67,2
312_class-11,5
313_class-59,1
314_class-3,4
315_class-67,3
316_class-27,1
317_class-63,1
318_class-7,0
319_class-27,0
320_class-39,3
321_class-31,5
322_class-59,0
323_class-63,1
324_class-75,3
325_class-55,4
326_class-3,1
327_class-51,4
328_class-55,4
329_class-3,2
330_class-43,4
331_class-59,1
332_class-35,4
333_class-79,1
334_class-71,0
335_class-47,1
336_class-15,0
337_class-75,4
338_class-15,3
339_class-79,3
340_class-67,3
341_class-19,2
342_class-31,4
343_class-43,2
344_class-3,3
345_class-11,1
346_class-55,5
347_class-79,3
348_class-3,2
349_class-79,5
350_class-15,3
351_class-55,3
352_class-31,3
353_class-75,2
354_class-55,0
355_class-59,2
356_class-15,0
357_class-47,5
358_class-59,0
359_class-35,3
360_class-15,3
361_class-47,5
362_class-47,1
363_class-23,1
364_class-3,3
365_class-71,3
366_class-27,1
367_class-19,4
368_class-51,5
369_class-11,1
370_class-43,5
371_class-43,3
372_class-51,3
373_class-19,2
374_class-75,4
375_class-19,5
376_class-75,5
377_class-19,4
378_class-39,4
379_class-31,5
380_class-19,3
381_class-27,4
382_class-67,2
383_class-7,4
384_class-75,2
