benchmark,seed,fold,method,num_samples,mean_miou,mean_baseline,mean_oracle,gain_over_baseline,non_degradation_rate,mean_selected_iter,fallback_rate
FSS-1000,42,0,original,2400,0.8837846819,0.8561072499,0.9185859807,0.0276774320,0.6204166667,2.5316666667,0.0000000000
FSS-1000,42,0,confidence_only,2400,0.8752387127,0.8561072499,0.9185859807,0.0191314628,0.6875000000,2.1170833333,0.1462500000
FSS-1000,42,0,support_only,2400,0.8814283543,0.8561072499,0.9185859807,0.0253211043,0.7441666667,1.7412500000,0.2604166667
FSS-1000,42,0,fg_only,2400,0.8806605164,0.8561072499,0.9185859807,0.0245532665,0.7291666667,1.8637500000,0.2270833333
FSS-1000,42,0,support_fg,2400,0.8781535765,0.8561072499,0.9185859807,0.0220463265,0.8287500000,1.2100000000,0.4425000000
FSS-1000,43,0,original,2400,0.8867293511,0.8582649375,0.9194569907,0.0284644136,0.6379166667,2.5233333333,0.0000000000
FSS-1000,43,0,confidence_only,2400,0.8787720742,0.8582649375,0.9194569907,0.0205071367,0.6945833333,2.1208333333,0.1291666667
FSS-1000,43,0,support_only,2400,0.8832279845,0.8582649375,0.9194569907,0.0249630470,0.7575000000,1.7754166667,0.2512500000
FSS-1000,43,0,fg_only,2400,0.8841266618,0.8582649375,0.9194569907,0.0258617243,0.7533333333,1.8462500000,0.2208333333
FSS-1000,43,0,support_fg,2400,0.8804304805,0.8582649375,0.9194569907,0.0221655429,0.8475000000,1.2291666667,0.4291666667
FSS-1000,44,0,original,2400,0.8846174876,0.8591201368,0.9174866361,0.0254973508,0.6412500000,2.4904166667,0.0000000000
FSS-1000,44,0,confidence_only,2400,0.8748663489,0.8591201368,0.9174866361,0.0157462120,0.6962500000,2.0750000000,0.1425000000
FSS-1000,44,0,support_only,2400,0.8813719373,0.8591201368,0.9174866361,0.0222518005,0.7545833333,1.7337500000,0.2516666667
FSS-1000,44,0,fg_only,2400,0.8832099170,0.8591201368,0.9174866361,0.0240897802,0.7454166667,1.8325000000,0.2216666667
FSS-1000,44,0,support_fg,2400,0.8799541871,0.8591201368,0.9174866361,0.0208340502,0.8379166667,1.1866666667,0.4366666667
COCO-20i,45,0,original,1000,0.5492164336,0.5188330542,0.6273384566,0.0303833794,0.6750000000,2.4650000000,0.0000000000
COCO-20i,45,0,confidence_only,1000,0.5439301650,0.5188330542,0.6273384566,0.0250971108,0.7380000000,1.9970000000,0.1550000000
COCO-20i,45,0,support_only,1000,0.5486423740,0.5188330542,0.6273384566,0.0298093197,0.7620000000,1.9140000000,0.1910000000
COCO-20i,45,0,fg_only,1000,0.5485494583,0.5188330542,0.6273384566,0.0297164041,0.7420000000,2.0930000000,0.1340000000
COCO-20i,45,0,support_fg,1000,0.5482757481,0.5188330542,0.6273384566,0.0294426938,0.8190000000,1.5930000000,0.3050000000
COCO-20i,45,1,original,1000,0.5644900445,0.5374527384,0.6421240406,0.0270373061,0.6680000000,2.4690000000,0.0000000000
COCO-20i,45,1,confidence_only,1000,0.5607889591,0.5374527384,0.6421240406,0.0233362207,0.7260000000,2.0420000000,0.1450000000
COCO-20i,45,1,support_only,1000,0.5623068933,0.5374527384,0.6421240406,0.0248541549,0.7520000000,1.9510000000,0.1790000000
COCO-20i,45,1,fg_only,1000,0.5680420738,0.5374527384,0.6421240406,0.0305893354,0.7300000000,2.1040000000,0.1170000000
COCO-20i,45,1,support_fg,1000,0.5661826630,0.5374527384,0.6421240406,0.0287299246,0.8070000000,1.6360000000,0.2810000000
COCO-20i,45,2,original,1000,0.5757829750,0.5378768946,0.6441166469,0.0379060804,0.6640000000,2.3990000000,0.0000000000
COCO-20i,45,2,confidence_only,1000,0.5655744477,0.5378768946,0.6441166469,0.0276975531,0.7060000000,1.9830000000,0.1410000000
COCO-20i,45,2,support_only,1000,0.5764494497,0.5378768946,0.6441166469,0.0385725551,0.7740000000,1.8050000000,0.1950000000
COCO-20i,45,2,fg_only,1000,0.5723143718,0.5378768946,0.6441166469,0.0344374772,0.7310000000,2.0090000000,0.1350000000
COCO-20i,45,2,support_fg,1000,0.5730524254,0.5378768946,0.6441166469,0.0351755308,0.8250000000,1.4760000000,0.3060000000
COCO-20i,45,3,original,1000,0.5730351949,0.5423017711,0.6425129446,0.0307334238,0.6880000000,2.4670000000,0.0000000000
COCO-20i,45,3,confidence_only,1000,0.5692964899,0.5423017711,0.6425129446,0.0269947188,0.7330000000,2.0540000000,0.1370000000
COCO-20i,45,3,support_only,1000,0.5722177401,0.5423017711,0.6425129446,0.0299159690,0.7900000000,1.8910000000,0.1970000000
COCO-20i,45,3,fg_only,1000,0.5737613687,0.5423017711,0.6425129446,0.0314595975,0.7530000000,2.0880000000,0.1340000000
COCO-20i,45,3,support_fg,1000,0.5735568432,0.5423017711,0.6425129446,0.0312550721,0.8470000000,1.5690000000,0.3110000000
COCO-20i,46,0,original,1000,0.5536140384,0.5282842361,0.6271101454,0.0253298023,0.6450000000,2.5380000000,0.0000000000
COCO-20i,46,0,confidence_only,1000,0.5530885081,0.5282842361,0.6271101454,0.0248042720,0.7100000000,2.0930000000,0.1520000000
COCO-20i,46,0,support_only,1000,0.5542518734,0.5282842361,0.6271101454,0.0259676372,0.7730000000,1.8370000000,0.2200000000
COCO-20i,46,0,fg_only,1000,0.5565338255,0.5282842361,0.6271101454,0.0282495894,0.7170000000,2.0850000000,0.1410000000
COCO-20i,46,0,support_fg,1000,0.5559538354,0.5282842361,0.6271101454,0.0276695993,0.8260000000,1.4670000000,0.3350000000
COCO-20i,46,1,original,1000,0.5644018373,0.5449166667,0.6445607612,0.0194851706,0.6510000000,2.4450000000,0.0000000000
COCO-20i,46,1,confidence_only,1000,0.5601846276,0.5449166667,0.6445607612,0.0152679610,0.7110000000,2.0440000000,0.1400000000
COCO-20i,46,1,support_only,1000,0.5664110364,0.5449166667,0.6445607612,0.0214943697,0.7500000000,1.8700000000,0.1910000000
COCO-20i,46,1,fg_only,1000,0.5678857166,0.5449166667,0.6445607612,0.0229690499,0.7170000000,2.0370000000,0.1310000000
COCO-20i,46,1,support_fg,1000,0.5694790745,0.5449166667,0.6445607612,0.0245624078,0.8060000000,1.5240000000,0.3030000000
COCO-20i,46,2,original,1000,0.5697180541,0.5343315307,0.6439024626,0.0353865233,0.6770000000,2.4580000000,0.0000000000
