benchmark,seed,fold,method,obj_name,baseline_miou,selected_miou,selected_iter,fallback,non_degraded,oracle_miou
FSS-1000,42,0,original,0_class-760,0.9804753065,0.9806102514,5,0,1,0.9821048975
FSS-1000,42,0,original,1_class-760,0.9706321955,0.9704418182,3,0,0,0.9706321955
FSS-1000,42,0,original,2_class-760,0.6647294760,0.9768754840,3,0,1,0.9768754840
FSS-1000,42,0,original,3_class-760,0.9642795920,0.9633281827,2,0,0,0.9642795920
FSS-1000,42,0,original,4_class-760,0.9709962606,0.9703830481,5,0,0,0.9732656479
FSS-1000,42,0,original,5_class-760,0.9330924749,0.9311338067,1,0,0,0.9596675634
FSS-1000,42,0,original,6_class-760,0.9451984167,0.9452575445,4,0,1,0.9452575445
FSS-1000,42,0,original,7_class-760,0.8794507384,0.8794507384,0,0,1,0.8803802133
FSS-1000,42,0,original,8_class-760,0.9332252741,0.9336144924,2,0,1,0.9339079261
FSS-1000,42,0,original,9_class-760,0.9418316483,0.9404971600,2,0,0,0.9674178958
FSS-1000,42,0,original,10_class-761,0.9755947590,0.9758291245,5,0,1,0.9758763313
FSS-1000,42,0,original,11_class-761,0.9746173620,0.9745874405,1,0,0,0.9746400714
FSS-1000,42,0,original,12_class-761,0.5814631581,0.5806499124,3,0,0,0.5835027695
FSS-1000,42,0,original,13_class-761,0.9745100141,0.9741576910,1,0,0,0.9745100141
FSS-1000,42,0,original,14_class-761,0.7588335276,0.9349756241,5,0,1,0.9349756241
FSS-1000,42,0,original,15_class-761,0.9526888132,0.9521440268,5,0,0,0.9526888132
FSS-1000,42,0,original,16_class-761,0.6357407570,0.9723845720,4,0,1,0.9726120234
FSS-1000,42,0,original,17_class-761,0.5463932157,0.9705621004,3,0,1,0.9705621004
FSS-1000,42,0,original,18_class-761,0.6822298765,0.6849956512,5,0,1,0.6899299622
FSS-1000,42,0,original,19_class-761,0.9596884251,0.9584236145,5,0,0,0.9604550600
FSS-1000,42,0,original,20_class-762,0.9519023895,0.9523450136,5,0,1,0.9525929689
FSS-1000,42,0,original,21_class-762,0.6366137862,0.9458413124,3,0,1,0.9459360838
FSS-1000,42,0,original,22_class-762,0.9539659023,0.9614326954,2,0,1,0.9618730545
FSS-1000,42,0,original,23_class-762,0.9371597767,0.9377980232,2,0,1,0.9381771088
FSS-1000,42,0,original,24_class-762,0.8684543371,0.8684543371,0,0,1,0.8689746857
