benchmark,calibration_seed,evaluation_seed,split,calibration_fraction,epsilon,threshold,episodes,accepted_count,coverage,conditional_degradation_risk,baseline_miou,selected_miou,gain_over_baseline,ndr,default_gain_over_baseline,original_gain_over_baseline
FSS-1000,42,42,calibration,0.2,0.4,2.002716064453125e-05,459,153,0.3333333333333333,0.39869281045751637,0.8762792132902395,0.8899905059997942,0.013711292709554734,0.8671023965141612,0.013641036493999947,0.015966482621806333
FSS-1000,42,42,heldout_same_seed,0.2,0.4,2.002716064453125e-05,1941,676,0.3482740855229263,0.3994082840236686,0.8513370638571455,0.8753702096275924,0.024033145770446906,0.8608964451313756,0.024033976258759915,0.03044679097599501
FSS-1000,42,43,heldout_seed,0.2,0.4,2.002716064453125e-05,1941,684,0.35239567233384855,0.3538011695906433,0.8534059784826638,0.8765651484493633,0.023159169966699533,0.8753219989696033,0.023164736636708483,0.030732686786362096
FSS-1000,42,44,heldout_seed,0.2,0.4,2.002716064453125e-05,1941,672,0.3462132921174652,0.3958333333333333,0.8554705763221294,0.8778731975013977,0.02240262117926828,0.8629572385368367,0.022394048090590313,0.02705092450468527
COCO-20i,45,45,calibration,0.2,0.4,-0.020521104335784912,807,650,0.80545229244114,0.4,0.5389866400807242,0.5709340851442355,0.031947445063511326,0.677819083023544,0.0333986474143958,0.03186154769833949
COCO-20i,45,45,heldout_same_seed,0.2,0.4,-0.020521104335784912,3193,2528,0.7917319135609145,0.3860759493670886,0.5328851361988921,0.5641497114514001,0.03126457525250803,0.6943313498277481,0.0305826848934585,0.03142747279711444
COCO-20i,45,46,heldout_seed,0.2,0.4,-0.020521104335784912,3193,2483,0.7776385844033824,0.3922674184454289,0.5354328047439825,0.5648620706784789,0.029429265934496462,0.6949577200125274,0.029772320183590772,0.02813591081642497
COCO-20i,45,47,heldout_seed,0.2,0.4,-0.020521104335784912,3193,2528,0.7917319135609145,0.39675632911392406,0.5362875932864635,0.5672751947873699,0.030987601500906403,0.6858753523332289,0.03029058444834498,0.030265398842719837
Pascal-5i,45,45,calibration,0.2,0.4,0.002053499221801758,811,178,0.21948212083847102,0.398876404494382,0.6700386975075603,0.6833591928829224,0.013320495375362063,0.9124537607891492,0.0037859942756579557,-0.011202943735345694
Pascal-5i,45,45,heldout_same_seed,0.2,0.4,0.002053499221801758,3189,694,0.2176230793352148,0.4812680115273775,0.6660347918958044,0.6717936241392533,0.005758832243448864,0.8952649733458764,-0.0013379740416613606,-0.015347636944502807
Pascal-5i,45,46,heldout_seed,0.2,0.4,0.002053499221801758,3189,690,0.21636876763875823,0.4797101449275362,0.6706906665712881,0.6773743369358403,0.006683670364552197,0.8962057071182189,-0.0015039594829601155,-0.020931941036834933
Pascal-5i,45,47,heldout_seed,0.2,0.4,0.002053499221801758,3189,731,0.22922546252743806,0.5075239398084815,0.6703666205091982,0.6748785320189322,0.004511911509734068,0.8836625901536532,-0.0022184026636346,-0.02092807102555605
