obj_name,PRMAGIC_1_best_iter
0_class-760,1
1_class-760,0
2_class-760,5
3_class-760,2
4_class-760,4
5_class-760,1
6_class-760,3
7_class-760,3
8_class-760,1
9_class-760,1
10_class-761,3
11_class-761,0
12_class-761,2
13_class-761,3
14_class-761,3
15_class-761,1
16_class-761,2
17_class-761,2
18_class-761,2
19_class-761,4
20_class-762,5
21_class-762,0
22_class-762,2
23_class-762,4
24_class-762,4
25_class-762,1
26_class-762,1
27_class-762,5
28_class-762,4
29_class-762,0
30_class-763,5
31_class-763,3
32_class-763,2
33_class-763,2
34_class-763,3
35_class-763,1
36_class-763,4
37_class-763,1
38_class-763,0
39_class-763,0
40_class-764,3
41_class-764,5
42_class-764,5
43_class-764,4
44_class-764,4
45_class-764,4
46_class-764,3
47_class-764,5
48_class-764,1
49_class-764,4
50_class-765,2
51_class-765,1
52_class-765,5
53_class-765,3
54_class-765,2
55_class-765,1
56_class-765,1
57_class-765,1
58_class-765,0
59_class-765,2
60_class-766,1
61_class-766,5
62_class-766,2
63_class-766,1
64_class-766,2
65_class-766,1
66_class-766,2
67_class-766,2
68_class-766,5
69_class-766,0
70_class-767,0
71_class-767,2
72_class-767,4
73_class-767,0
74_class-767,1
75_class-767,3
76_class-767,1
77_class-767,5
78_class-767,0
79_class-767,5
80_class-768,0
81_class-768,5
82_class-768,2
83_class-768,5
84_class-768,3
85_class-768,1
86_class-768,3
87_class-768,2
88_class-768,5
89_class-768,5
90_class-769,0
91_class-769,4
92_class-769,1
93_class-769,3
94_class-769,5
95_class-769,4
96_class-769,0
97_class-769,5
98_class-769,2
99_class-769,1
