obj_name,PRMAGIC_1_best_iter
0_class-760,5
1_class-760,3
2_class-760,3
3_class-760,2
4_class-760,5
5_class-760,1
6_class-760,4
7_class-760,0
8_class-760,2
9_class-760,2
10_class-761,5
11_class-761,1
12_class-761,3
13_class-761,1
14_class-761,5
15_class-761,5
16_class-761,4
17_class-761,3
18_class-761,5
19_class-761,5
20_class-762,5
21_class-762,3
22_class-762,2
23_class-762,2
24_class-762,0
25_class-762,4
26_class-762,3
27_class-762,2
28_class-762,3
29_class-762,2
30_class-763,4
31_class-763,2
32_class-763,4
33_class-763,5
34_class-763,3
35_class-763,4
36_class-763,2
37_class-763,3
38_class-763,0
39_class-763,2
40_class-764,4
41_class-764,4
42_class-764,0
43_class-764,2
44_class-764,2
45_class-764,1
46_class-764,4
47_class-764,1
48_class-764,4
49_class-764,3
50_class-765,1
51_class-765,5
52_class-765,5
53_class-765,0
54_class-765,2
55_class-765,2
56_class-765,4
57_class-765,5
58_class-765,4
59_class-765,2
60_class-766,3
61_class-766,3
62_class-766,3
63_class-766,2
64_class-766,5
65_class-766,4
66_class-766,3
67_class-766,0
68_class-766,5
69_class-766,2
70_class-767,4
71_class-767,5
72_class-767,2
73_class-767,4
74_class-767,1
75_class-767,1
76_class-767,0
77_class-767,0
78_class-767,1
79_class-767,2
80_class-768,2
81_class-768,3
82_class-768,1
83_class-768,3
84_class-768,4
85_class-768,1
86_class-768,5
87_class-768,1
88_class-768,3
89_class-768,3
90_class-769,4
91_class-769,5
92_class-769,0
93_class-769,2
94_class-769,1
95_class-769,3
96_class-769,5
97_class-769,1
98_class-769,0
99_class-769,5
100_class-770,4
101_class-770,1
102_class-770,0
103_class-770,4
104_class-770,4
105_class-770,4
106_class-770,1
107_class-770,4
108_class-770,0
109_class-770,3
110_class-771,5
111_class-771,1
112_class-771,4
113_class-771,4
114_class-771,4
115_class-771,5
116_class-771,5
117_class-771,0
118_class-771,1
119_class-771,2
120_class-772,4
121_class-772,2
122_class-772,4
123_class-772,1
124_class-772,4
125_class-772,4
126_class-772,4
127_class-772,3
128_class-772,0
129_class-772,3
130_class-773,4
131_class-773,1
132_class-773,0
133_class-773,4
134_class-773,5
135_class-773,2
136_class-773,2
137_class-773,4
138_class-773,0
139_class-773,0
140_class-774,3
141_class-774,2
142_class-774,0
143_class-774,3
144_class-774,5
145_class-774,5
146_class-774,4
147_class-774,4
148_class-774,3
149_class-774,5
150_class-775,3
151_class-775,5
152_class-775,3
153_class-775,4
154_class-775,0
155_class-775,4
156_class-775,3
157_class-775,1
158_class-775,2
159_class-775,5
160_class-776,4
161_class-776,2
162_class-776,2
163_class-776,1
164_class-776,5
165_class-776,0
166_class-776,0
167_class-776,1
168_class-776,4
169_class-776,0
170_class-777,2
171_class-777,4
172_class-777,5
173_class-777,1
174_class-777,5
175_class-777,0
176_class-777,0
177_class-777,4
178_class-777,5
179_class-777,2
180_class-778,3
181_class-778,2
182_class-778,1
183_class-778,3
184_class-778,2
185_class-778,4
186_class-778,3
187_class-778,2
188_class-778,4
189_class-778,0
190_class-779,4
191_class-779,3
192_class-779,1
193_class-779,5
194_class-779,4
195_class-779,2
196_class-779,5
197_class-779,2
198_class-779,3
199_class-779,4
200_class-780,5
201_class-780,4
202_class-780,4
203_class-780,0
204_class-780,2
205_class-780,0
206_class-780,1
207_class-780,4
208_class-780,0
209_class-780,5
210_class-781,3
211_class-781,5
212_class-781,4
213_class-781,2
214_class-781,1
215_class-781,3
216_class-781,3
217_class-781,4
218_class-781,1
219_class-781,0
220_class-782,3
221_class-782,4
222_class-782,4
223_class-782,3
224_class-782,4
225_class-782,5
226_class-782,0
227_class-782,4
228_class-782,3
229_class-782,4
230_class-783,4
231_class-783,5
232_class-783,1
233_class-783,5
234_class-783,1
235_class-783,2
236_class-783,0
237_class-783,2
238_class-783,4
239_class-783,2
240_class-784,3
241_class-784,4
242_class-784,5
243_class-784,5
244_class-784,4
245_class-784,5
246_class-784,4
247_class-784,2
248_class-784,5
249_class-784,4
250_class-785,3
251_class-785,5
252_class-785,4
253_class-785,2
254_class-785,1
255_class-785,5
256_class-785,1
257_class-785,5
258_class-785,4
259_class-785,4
260_class-786,3
261_class-786,1
262_class-786,0
263_class-786,3
264_class-786,3
265_class-786,3
266_class-786,3
267_class-786,2
268_class-786,3
269_class-786,4
270_class-787,4
271_class-787,3
272_class-787,0
273_class-787,3
274_class-787,2
275_class-787,3
276_class-787,4
277_class-787,2
278_class-787,4
279_class-787,5
280_class-788,5
281_class-788,1
282_class-788,2
283_class-788,3
284_class-788,0
285_class-788,3
286_class-788,3
287_class-788,3
288_class-788,0
289_class-788,4
290_class-789,2
291_class-789,4
292_class-789,5
293_class-789,2
294_class-789,1
295_class-789,3
296_class-789,5
297_class-789,0
298_class-789,3
299_class-789,1
300_class-790,3
301_class-790,0
302_class-790,5
303_class-790,5
304_class-790,0
305_class-790,0
306_class-790,2
307_class-790,3
308_class-790,5
309_class-790,3
310_class-791,0
311_class-791,0
312_class-791,3
313_class-791,3
314_class-791,4
315_class-791,4
316_class-791,0
317_class-791,0
318_class-791,2
319_class-791,2
320_class-792,1
321_class-792,3
322_class-792,4
323_class-792,1
324_class-792,3
325_class-792,2
326_class-792,4
327_class-792,1
328_class-792,5
329_class-792,1
330_class-793,0
331_class-793,0
332_class-793,1
333_class-793,1
334_class-793,2
335_class-793,0
336_class-793,5
337_class-793,0
338_class-793,2
339_class-793,5
340_class-794,5
341_class-794,2
342_class-794,5
343_class-794,2
344_class-794,1
345_class-794,2
346_class-794,5
347_class-794,4
348_class-794,5
349_class-794,3
350_class-795,3
351_class-795,4
352_class-795,2
353_class-795,5
354_class-795,0
355_class-795,0
356_class-795,2
357_class-795,0
358_class-795,3
359_class-795,5
360_class-796,3
361_class-796,5
362_class-796,1
363_class-796,4
364_class-796,1
365_class-796,4
366_class-796,3
367_class-796,1
368_class-796,5
369_class-796,0
370_class-797,2
371_class-797,0
372_class-797,2
373_class-797,1
374_class-797,1
375_class-797,3
376_class-797,3
377_class-797,3
378_class-797,5
379_class-797,1
380_class-798,5
381_class-798,5
382_class-798,0
383_class-798,0
384_class-798,4
385_class-798,5
386_class-798,0
387_class-798,3
388_class-798,3
389_class-798,2
390_class-799,1
391_class-799,4
392_class-799,2
393_class-799,0
394_class-799,2
395_class-799,0
396_class-799,5
397_class-799,5
398_class-799,3
399_class-799,1
400_class-800,3
401_class-800,3
402_class-800,3
403_class-800,4
404_class-800,3
405_class-800,5
406_class-800,3
407_class-800,2
408_class-800,0
409_class-800,2
410_class-801,2
411_class-801,1
412_class-801,5
413_class-801,5
414_class-801,3
415_class-801,0
416_class-801,1
417_class-801,2
418_class-801,2
419_class-801,4
420_class-802,1
421_class-802,3
422_class-802,5
423_class-802,0
424_class-802,2
425_class-802,2
426_class-802,3
427_class-802,5
428_class-802,4
429_class-802,1
430_class-803,0
431_class-803,3
432_class-803,2
433_class-803,5
434_class-803,2
435_class-803,3
436_class-803,4
437_class-803,2
438_class-803,4
439_class-803,1
440_class-804,4
441_class-804,0
442_class-804,0
443_class-804,4
444_class-804,3
445_class-804,2
446_class-804,4
447_class-804,2
448_class-804,0
449_class-804,5
450_class-805,1
451_class-805,2
452_class-805,1
453_class-805,4
454_class-805,4
455_class-805,4
456_class-805,1
457_class-805,3
458_class-805,4
459_class-805,5
460_class-806,1
461_class-806,0
462_class-806,4
463_class-806,3
464_class-806,0
465_class-806,3
466_class-806,1
467_class-806,1
468_class-806,0
469_class-806,5
470_class-807,4
471_class-807,2
472_class-807,4
473_class-807,1
474_class-807,2
475_class-807,2
476_class-807,3
477_class-807,1
478_class-807,3
479_class-807,4
480_class-808,0
481_class-808,4
482_class-808,1
483_class-808,0
484_class-808,3
485_class-808,0
486_class-808,5
487_class-808,4
488_class-808,0
489_class-808,4
490_class-809,2
491_class-809,3
492_class-809,5
493_class-809,3
494_class-809,1
495_class-809,5
496_class-809,2
497_class-809,2
498_class-809,3
499_class-809,3
