obj_name,PRMAGIC_1_best_iter
0_class-760,2
1_class-760,2
2_class-760,4
3_class-760,5
4_class-760,5
5_class-760,1
6_class-760,0
7_class-760,3
8_class-760,3
9_class-760,0
10_class-761,2
11_class-761,3
12_class-761,1
13_class-761,3
14_class-761,0
15_class-761,2
16_class-761,4
17_class-761,0
18_class-761,3
19_class-761,5
20_class-762,1
21_class-762,5
22_class-762,0
23_class-762,2
24_class-762,5
25_class-762,1
26_class-762,1
27_class-762,5
28_class-762,2
29_class-762,1
30_class-763,2
31_class-763,2
32_class-763,5
33_class-763,5
34_class-763,3
35_class-763,2
36_class-763,0
37_class-763,2
38_class-763,2
39_class-763,4
40_class-764,5
41_class-764,0
42_class-764,2
43_class-764,1
44_class-764,5
45_class-764,0
46_class-764,0
47_class-764,1
48_class-764,2
49_class-764,0
50_class-765,1
51_class-765,3
52_class-765,2
53_class-765,4
54_class-765,3
55_class-765,0
56_class-765,3
57_class-765,3
58_class-765,0
59_class-765,3
60_class-766,2
61_class-766,1
62_class-766,3
63_class-766,1
64_class-766,1
65_class-766,3
66_class-766,4
67_class-766,2
68_class-766,5
69_class-766,4
70_class-767,2
71_class-767,1
72_class-767,1
73_class-767,4
74_class-767,1
75_class-767,2
76_class-767,4
77_class-767,1
78_class-767,0
79_class-767,4
80_class-768,1
81_class-768,2
82_class-768,0
83_class-768,5
84_class-768,3
85_class-768,0
86_class-768,4
87_class-768,5
88_class-768,2
89_class-768,4
90_class-769,2
91_class-769,2
92_class-769,1
93_class-769,1
94_class-769,3
95_class-769,3
96_class-769,4
97_class-769,4
98_class-769,1
99_class-769,2
100_class-770,3
101_class-770,1
102_class-770,3
103_class-770,3
104_class-770,1
105_class-770,5
106_class-770,0
107_class-770,3
108_class-770,1
109_class-770,4
110_class-771,0
111_class-771,1
112_class-771,3
113_class-771,5
114_class-771,2
115_class-771,5
116_class-771,0
117_class-771,1
118_class-771,5
119_class-771,0
120_class-772,2
121_class-772,1
122_class-772,1
123_class-772,5
124_class-772,0
125_class-772,1
126_class-772,1
127_class-772,2
128_class-772,1
129_class-772,5
130_class-773,4
131_class-773,5
132_class-773,5
133_class-773,1
134_class-773,0
135_class-773,3
136_class-773,0
137_class-773,4
138_class-773,5
139_class-773,3
140_class-774,4
141_class-774,0
142_class-774,2
143_class-774,4
144_class-774,0
145_class-774,5
146_class-774,0
147_class-774,0
148_class-774,4
149_class-774,4
150_class-775,4
151_class-775,2
152_class-775,0
153_class-775,3
154_class-775,5
155_class-775,5
156_class-775,1
157_class-775,5
158_class-775,4
159_class-775,5
160_class-776,3
161_class-776,4
162_class-776,0
163_class-776,4
164_class-776,3
165_class-776,3
166_class-776,2
167_class-776,4
168_class-776,1
169_class-776,4
170_class-777,3
171_class-777,3
172_class-777,1
173_class-777,0
174_class-777,1
175_class-777,3
176_class-777,1
177_class-777,0
178_class-777,0
179_class-777,5
180_class-778,4
181_class-778,1
182_class-778,3
183_class-778,1
184_class-778,0
185_class-778,4
186_class-778,2
187_class-778,5
188_class-778,5
189_class-778,1
190_class-779,3
191_class-779,1
192_class-779,0
193_class-779,0
194_class-779,2
195_class-779,4
196_class-779,2
197_class-779,0
198_class-779,5
199_class-779,4
200_class-780,2
201_class-780,2
202_class-780,1
203_class-780,5
204_class-780,5
205_class-780,5
206_class-780,0
207_class-780,5
208_class-780,2
209_class-780,5
210_class-781,4
211_class-781,5
212_class-781,3
213_class-781,0
214_class-781,5
215_class-781,0
216_class-781,0
217_class-781,5
218_class-781,4
219_class-781,2
220_class-782,5
221_class-782,5
222_class-782,5
223_class-782,3
224_class-782,2
225_class-782,2
226_class-782,4
227_class-782,2
228_class-782,2
229_class-782,5
230_class-783,5
231_class-783,5
232_class-783,3
233_class-783,0
234_class-783,0
235_class-783,0
236_class-783,4
237_class-783,3
238_class-783,5
239_class-783,0
240_class-784,0
241_class-784,1
242_class-784,0
243_class-784,0
244_class-784,4
245_class-784,3
246_class-784,1
247_class-784,5
248_class-784,2
249_class-784,4
250_class-785,5
251_class-785,1
252_class-785,4
253_class-785,0
254_class-785,0
255_class-785,4
256_class-785,0
257_class-785,2
258_class-785,5
259_class-785,5
260_class-786,5
261_class-786,3
