obj_name,PRMAGIC_1_best_iter
0_class-0,0
1_class-72,2
2_class-68,4
3_class-76,2
4_class-36,3
5_class-56,4
6_class-48,0
7_class-36,1
8_class-40,3
9_class-4,4
10_class-0,3
11_class-68,0
12_class-40,0
13_class-36,1
14_class-28,5
15_class-72,4
16_class-52,3
17_class-32,3
18_class-72,2
19_class-12,0
20_class-48,0
21_class-60,2
22_class-4,4
23_class-60,1
24_class-32,0
25_class-60,1
26_class-52,1
27_class-24,5
28_class-64,4
29_class-40,1
30_class-40,2
31_class-24,0
32_class-28,2
33_class-16,2
34_class-52,2
35_class-76,3
36_class-76,5
37_class-36,0
38_class-60,1
39_class-48,1
40_class-64,3
41_class-12,5
42_class-36,2
43_class-44,4
44_class-32,0
45_class-56,2
46_class-4,4
47_class-24,4
48_class-64,4
49_class-36,0
50_class-60,2
51_class-16,4
52_class-76,1
53_class-0,5
54_class-52,2
55_class-28,0
56_class-76,3
57_class-60,0
58_class-20,2
59_class-76,2
60_class-56,2
61_class-60,0
62_class-32,2
63_class-36,2
64_class-52,4
65_class-12,1
66_class-24,3
67_class-56,1
68_class-0,3
69_class-36,1
70_class-0,3
71_class-32,2
72_class-72,2
73_class-32,4
74_class-20,4
75_class-24,3
76_class-0,5
77_class-0,1
78_class-44,5
79_class-36,3
80_class-56,0
81_class-52,0
82_class-32,3
83_class-28,3
84_class-44,5
85_class-60,3
86_class-72,1
87_class-56,2
88_class-44,1
89_class-4,5
90_class-20,1
91_class-76,1
92_class-28,0
93_class-64,4
94_class-32,1
95_class-32,4
96_class-48,3
97_class-28,5
98_class-24,2
99_class-48,0
100_class-44,0
101_class-64,1
102_class-40,3
103_class-48,5
104_class-4,5
105_class-4,3
106_class-20,1
107_class-12,0
108_class-28,5
109_class-52,1
110_class-60,1
111_class-56,2
112_class-4,5
113_class-28,0
114_class-52,3
115_class-4,1
116_class-20,3
117_class-0,0
118_class-24,2
119_class-48,2
120_class-8,2
121_class-44,0
122_class-60,5
123_class-72,4
124_class-8,3
125_class-36,3
126_class-44,1
127_class-40,2
128_class-32,0
129_class-0,0
130_class-68,1
131_class-24,3
132_class-44,5
133_class-20,0
134_class-64,4
135_class-60,5
136_class-68,4
137_class-56,0
138_class-56,4
139_class-36,1
140_class-4,4
141_class-60,5
142_class-76,1
143_class-16,3
144_class-60,5
145_class-24,4
146_class-4,0
147_class-36,2
148_class-12,0
149_class-20,5
150_class-60,5
151_class-4,2
152_class-0,3
153_class-36,3
154_class-28,5
155_class-48,2
156_class-48,5
157_class-8,3
158_class-4,5
159_class-76,2
160_class-56,0
161_class-24,2
162_class-64,2
163_class-36,0
164_class-8,1
165_class-36,1
166_class-48,0
167_class-52,1
168_class-68,5
169_class-40,2
170_class-76,4
171_class-0,1
172_class-76,2
173_class-24,0
174_class-72,1
175_class-52,2
176_class-24,4
177_class-16,2
178_class-48,2
179_class-4,0
180_class-0,5
181_class-16,3
182_class-68,5
183_class-36,2
184_class-20,3
185_class-16,2
186_class-72,2
187_class-64,2
188_class-24,5
189_class-76,4
190_class-4,0
191_class-24,5
192_class-4,1
193_class-24,5
194_class-44,3
195_class-36,0
196_class-64,1
197_class-36,2
198_class-48,5
199_class-12,1
200_class-12,3
201_class-36,1
202_class-64,2
203_class-4,3
204_class-44,5
205_class-4,4
206_class-64,1
207_class-52,2
208_class-20,0
209_class-28,5
210_class-48,3
211_class-36,3
212_class-64,1
213_class-52,0
214_class-64,4
215_class-28,0
216_class-40,0
217_class-20,5
218_class-0,4
219_class-24,0
220_class-64,5
221_class-16,3
222_class-40,4
223_class-12,4
224_class-76,0
225_class-24,1
226_class-28,2
227_class-48,5
228_class-20,5
229_class-56,2
230_class-64,3
231_class-72,2
232_class-32,2
233_class-20,1
234_class-0,1
