obj_name,original_iter,original_miou,baseline_miou_original,oracle_miou_original,fallback_applied_x,guarded_iter,guarded_miou,baseline_miou_guarded,oracle_miou_guarded,fallback_applied_y,original_delta_vs_baseline,guarded_delta_vs_baseline,guarded_delta_vs_original,original_non_degraded,guarded_non_degraded,ndr_delta
0_class-0,0,0.0295193922,0.0295193922,0.1880491227,False,0,0.0295193922,0.0295193922,0.1880491227,False,0.0000000000,0.0000000000,0.0000000000,1,1,0
1_class-72,2,0.4478348792,0.4504614770,0.4504614770,False,2,0.4478348792,0.4504614770,0.4504614770,False,-0.0026265979,-0.0026265979,0.0000000000,0,0,0
2_class-68,4,0.7630525827,0.7640329599,0.7737305760,False,4,0.7630525827,0.7640329599,0.7737305760,False,-0.0009803772,-0.0009803772,0.0000000000,0,0,0
3_class-76,2,0.1674397290,0.1644463241,0.1674397290,False,0,0.1644463241,0.1644463241,0.1674397290,True,0.0029934049,0.0000000000,-0.0029934049,1,1,0
4_class-36,3,0.8407882452,0.8332934380,0.8509079218,False,3,0.8407882452,0.8332934380,0.8509079218,False,0.0074948072,0.0074948072,0.0000000000,1,1,0
5_class-56,4,0.4251180291,0.3828925192,0.4251180291,False,4,0.4251180291,0.3828925192,0.4251180291,False,0.0422255099,0.0422255099,0.0000000000,1,1,0
6_class-48,0,0.6260197759,0.6260197759,0.6675792933,False,0,0.6260197759,0.6260197759,0.6675792933,False,0.0000000000,0.0000000000,0.0000000000,1,1,0
7_class-36,1,0.8860175610,0.8651273251,0.8890086412,False,0,0.8651273251,0.8651273251,0.8890086412,True,0.0208902359,0.0000000000,-0.0208902359,1,1,0
8_class-40,3,0.3554570973,0.3543523252,0.3556599617,False,3,0.3554570973,0.3543523252,0.3556599617,False,0.0011047721,0.0011047721,0.0000000000,1,1,0
9_class-4,4,0.9365020990,0.9322597384,0.9374825954,False,0,0.9322597384,0.9322597384,0.9374825954,True,0.0042423606,0.0000000000,-0.0042423606,1,1,0
10_class-0,3,0.8159767985,0.2608629167,0.8159767985,False,0,0.2608629167,0.2608629167,0.8159767985,True,0.5551138818,0.0000000000,-0.5551138818,1,1,0
11_class-68,0,0.9679960012,0.9679960012,0.9697122574,False,0,0.9679960012,0.9679960012,0.9697122574,False,0.0000000000,0.0000000000,0.0000000000,1,1,0
12_class-40,0,0.4510486722,0.4510486722,0.4510486722,False,0,0.4510486722,0.4510486722,0.4510486722,False,0.0000000000,0.0000000000,0.0000000000,1,1,0
13_class-36,1,0.7821024656,0.8209419250,0.8723208904,False,0,0.8209419250,0.8209419250,0.8723208904,True,-0.0388394594,0.0000000000,0.0388394594,0,1,1
14_class-28,5,0.4902462363,0.4820038080,0.4902462363,False,5,0.4902462363,0.4820038080,0.4902462363,False,0.0082424283,0.0082424283,0.0000000000,1,1,0
15_class-72,4,0.9692988396,0.9620463848,0.9697299004,False,0,0.9620463848,0.9620463848,0.9697299004,True,0.0072524548,0.0000000000,-0.0072524548,1,1,0
16_class-52,3,0.3233326077,0.3247592151,0.4156505466,False,0,0.3247592151,0.3247592151,0.4156505466,True,-0.0014266074,0.0000000000,0.0014266074,0,1,1
17_class-32,3,0.9572118521,0.9595676661,0.9602997303,False,0,0.9595676661,0.9595676661,0.9602997303,True,-0.0023558140,0.0000000000,0.0023558140,0,1,1
18_class-72,2,0.3983297348,0.6635491848,0.7670844197,False,2,0.3983297348,0.6635491848,0.7670844197,False,-0.2652194500,-0.2652194500,0.0000000000,0,0,0
19_class-12,0,0.9506317377,0.9506317377,0.9542975426,False,0,0.9506317377,0.9506317377,0.9542975426,False,0.0000000000,0.0000000000,0.0000000000,1,1,0
20_class-48,0,0.2915748358,0.2915748358,0.2972689867,False,0,0.2915748358,0.2915748358,0.2972689867,False,0.0000000000,0.0000000000,0.0000000000,1,1,0
21_class-60,2,0.7744104862,0.7748172879,0.7759344578,False,0,0.7748172879,0.7748172879,0.7759344578,True,-0.0004068017,0.0000000000,0.0004068017,0,1,1
22_class-4,4,0.8744176626,0.8753094673,0.9099357128,False,0,0.8753094673,0.8753094673,0.9099357128,True,-0.0008918047,0.0000000000,0.0008918047,0,1,1
23_class-60,1,0.1466414332,0.1457283944,0.3182796836,False,1,0.1466414332,0.1457283944,0.3182796836,False,0.0009130388,0.0009130388,0.0000000000,1,1,0
24_class-32,0,0.9522150159,0.9522150159,0.9534683228,False,0,0.9522150159,0.9522150159,0.9534683228,False,0.0000000000,0.0000000000,0.0000000000,1,1,0
25_class-60,1,0.3694085777,0.2667353153,0.3694085777,False,0,0.2667353153,0.2667353153,0.3694085777,True,0.1026732624,0.0000000000,-0.1026732624,1,1,0
26_class-52,1,0.9424914122,0.9284036160,0.9439726472,False,1,0.9424914122,0.9284036160,0.9439726472,False,0.0140877962,0.0140877962,0.0000000000,1,1,0
27_class-24,5,0.9387320280,0.9386627674,0.9391028881,False,0,0.9386627674,0.9386627674,0.9391028881,True,0.0000692606,0.0000000000,-0.0000692606,1,1,0
28_class-64,4,0.4007648230,0.3792714775,0.7355602980,False,4,0.4007648230,0.3792714775,0.7355602980,False,0.0214933455,0.0214933455,0.0000000000,1,1,0
29_class-40,1,0.5788928270,0.4886650741,0.5788928270,False,1,0.5788928270,0.4886650741,0.5788928270,False,0.0902277529,0.0902277529,0.0000000000,1,1,0
30_class-40,2,0.5171863437,0.5396871567,0.5396871567,False,2,0.5171863437,0.5396871567,0.5396871567,False,-0.0225008130,-0.0225008130,0.0000000000,0,0,0
31_class-24,0,0.5295650363,0.5295650363,0.5295650363,False,0,0.5295650363,0.5295650363,0.5295650363,False,0.0000000000,0.0000000000,0.0000000000,1,1,0
32_class-28,2,0.5336807370,0.5387440324,0.5700860620,False,2,0.5336807370,0.5387440324,0.5700860620,False,-0.0050632954,-0.0050632954,0.0000000000,0,0,0
33_class-16,2,0.9315780401,0.9270780087,0.9355169535,False,2,0.9315780401,0.9270780087,0.9355169535,False,0.0045000315,0.0045000315,0.0000000000,1,1,0
