obj_name,original_iter,original_miou,baseline_miou_original,oracle_miou_original,guarded_iter,guarded_miou,baseline_miou_guarded,oracle_miou_guarded,guarded_delta_vs_original,original_delta_vs_baseline,guarded_delta_vs_baseline,original_non_degraded,guarded_non_degraded,ndr_transition,benchmark,fallback_applied_x,fallback_applied_y,ndr_delta
0_class-760,0,0.9813274145,0.9813274145,0.9814784527,0,0.9813274145,0.9813274145,0.9814784527,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
1_class-760,2,0.9738668203,0.9744238853,0.9757140875,0,0.9744238853,0.9744238853,0.9757140875,0.0005570650,-0.0005570650,0.0000000000,0,1,1.0000000000,FSS-1000,,,
2_class-760,4,0.9772538543,0.9058039188,0.9772538543,0,0.9058039188,0.9058039188,0.9772538543,-0.0714499354,0.0714499354,0.0000000000,1,1,0.0000000000,FSS-1000,,,
3_class-760,1,0.9643460512,0.9654957056,0.9654957056,0,0.9654957056,0.9654957056,0.9654957056,0.0011496544,-0.0011496544,0.0000000000,0,1,1.0000000000,FSS-1000,,,
4_class-760,4,0.9258130789,0.9717376828,0.9717376828,0,0.9717376828,0.9717376828,0.9717376828,0.0459246039,-0.0459246039,0.0000000000,0,1,1.0000000000,FSS-1000,,,
5_class-760,4,0.8971329927,0.9088302255,0.9186780453,0,0.9088302255,0.9088302255,0.9186780453,0.0116972327,-0.0116972327,0.0000000000,0,1,1.0000000000,FSS-1000,,,
6_class-760,5,0.9335729480,0.9401433468,0.9415881634,0,0.9401433468,0.9401433468,0.9415881634,0.0065703988,-0.0065703988,0.0000000000,0,1,1.0000000000,FSS-1000,,,
7_class-760,2,0.8776462078,0.8779630661,0.8788494468,2,0.8776462078,0.8779630661,0.8788494468,0.0000000000,-0.0003168583,-0.0003168583,0,0,0.0000000000,FSS-1000,,,
8_class-760,3,0.9629740715,0.9645647407,0.9645647407,0,0.9645647407,0.9645647407,0.9645647407,0.0015906692,-0.0015906692,0.0000000000,0,1,1.0000000000,FSS-1000,,,
9_class-760,5,0.9465957880,0.9441146255,0.9465957880,0,0.9441146255,0.9441146255,0.9465957880,-0.0024811625,0.0024811625,0.0000000000,1,1,0.0000000000,FSS-1000,,,
10_class-761,1,0.9743086100,0.9742160439,0.9747468829,1,0.9743086100,0.9742160439,0.9747468829,0.0000000000,0.0000925660,0.0000925660,1,1,0.0000000000,FSS-1000,,,
11_class-761,3,0.9760534763,0.9760540724,0.9763821363,0,0.9760540724,0.9760540724,0.9763821363,0.0000005960,-0.0000005960,0.0000000000,0,1,1.0000000000,FSS-1000,,,
12_class-761,3,0.9374163747,0.9341206551,0.9374163747,0,0.9341206551,0.9341206551,0.9374163747,-0.0032957196,0.0032957196,0.0000000000,1,1,0.0000000000,FSS-1000,,,
13_class-761,5,0.9712018967,0.9714252353,0.9719095230,5,0.9712018967,0.9714252353,0.9719095230,0.0000000000,-0.0002233386,-0.0002233386,0,0,0.0000000000,FSS-1000,,,
14_class-761,2,0.9197050333,0.9223639965,0.9244493246,2,0.9197050333,0.9223639965,0.9244493246,0.0000000000,-0.0026589632,-0.0026589632,0,0,0.0000000000,FSS-1000,,,
15_class-761,2,0.9574148655,0.9552655220,0.9574148655,2,0.9574148655,0.9552655220,0.9574148655,0.0000000000,0.0021493435,0.0021493435,1,1,0.0000000000,FSS-1000,,,
16_class-761,1,0.9734572172,0.8107621074,0.9734572172,0,0.8107621074,0.8107621074,0.9734572172,-0.1626951098,0.1626951098,0.0000000000,1,1,0.0000000000,FSS-1000,,,
17_class-761,0,0.9710486531,0.9710486531,0.9710661173,0,0.9710486531,0.9710486531,0.9710661173,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
18_class-761,3,0.9597378969,0.9566269517,0.9612786770,3,0.9597378969,0.9566269517,0.9612786770,0.0000000000,0.0031109452,0.0031109452,1,1,0.0000000000,FSS-1000,,,
19_class-761,3,0.9561273456,0.9555139542,0.9593555927,0,0.9555139542,0.9555139542,0.9593555927,-0.0006133914,0.0006133914,0.0000000000,1,1,0.0000000000,FSS-1000,,,
20_class-762,0,0.9427965283,0.9427965283,0.9505213499,0,0.9427965283,0.9427965283,0.9505213499,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
21_class-762,0,0.9475061893,0.9475061893,0.9475061893,0,0.9475061893,0.9475061893,0.9475061893,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
22_class-762,1,0.9571546912,0.9475554824,0.9571546912,1,0.9571546912,0.9475554824,0.9571546912,0.0000000000,0.0095992088,0.0095992088,1,1,0.0000000000,FSS-1000,,,
23_class-762,5,0.9336713552,0.9289288521,0.9336713552,0,0.9289288521,0.9289288521,0.9336713552,-0.0047425032,0.0047425032,0.0000000000,1,1,0.0000000000,FSS-1000,,,
24_class-762,0,0.8680666089,0.8680666089,0.9472885132,0,0.8680666089,0.8680666089,0.9472885132,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
25_class-762,3,0.9260272980,0.9131250381,0.9295969009,0,0.9131250381,0.9131250381,0.9295969009,-0.0129022598,0.0129022598,0.0000000000,1,1,0.0000000000,FSS-1000,,,
26_class-762,3,0.7277299166,0.7272858620,0.7284688950,3,0.7277299166,0.7272858620,0.7284688950,0.0000000000,0.0004440546,0.0004440546,1,1,0.0000000000,FSS-1000,,,
27_class-762,3,0.9418810010,0.9380093813,0.9418810010,0,0.9380093813,0.9380093813,0.9418810010,-0.0038716197,0.0038716197,0.0000000000,1,1,0.0000000000,FSS-1000,,,
28_class-762,2,0.9329269528,0.8937852383,0.9329269528,0,0.8937852383,0.8937852383,0.9329269528,-0.0391417146,0.0391417146,0.0000000000,1,1,0.0000000000,FSS-1000,,,
29_class-762,2,0.9646850824,0.9645769000,0.9647115469,2,0.9646850824,0.9645769000,0.9647115469,0.0000000000,0.0001081824,0.0001081824,1,1,0.0000000000,FSS-1000,,,
30_class-763,4,0.8090631962,0.7935562134,0.8130215406,4,0.8090631962,0.7935562134,0.8130215406,0.0000000000,0.0155069828,0.0155069828,1,1,0.0000000000,FSS-1000,,,
31_class-763,2,0.9528978467,0.9539375901,0.9540545344,2,0.9528978467,0.9539375901,0.9540545344,0.0000000000,-0.0010397434,-0.0010397434,0,0,0.0000000000,FSS-1000,,,
32_class-763,2,0.9548053741,0.9546692371,0.9549171329,0,0.9546692371,0.9546692371,0.9549171329,-0.0001361370,0.0001361370,0.0000000000,1,1,0.0000000000,FSS-1000,,,
33_class-763,4,0.9598968029,0.9594113827,0.9598968029,0,0.9594113827,0.9594113827,0.9598968029,-0.0004854202,0.0004854202,0.0000000000,1,1,0.0000000000,FSS-1000,,,
34_class-763,2,0.9769902229,0.9769296646,0.9772174954,2,0.9769902229,0.9769296646,0.9772174954,0.0000000000,0.0000605583,0.0000605583,1,1,0.0000000000,FSS-1000,,,
35_class-763,2,0.8840268850,0.1242204905,0.9451429248,2,0.8840268850,0.1242204905,0.9451429248,0.0000000000,0.7598063946,0.7598063946,1,1,0.0000000000,FSS-1000,,,
36_class-763,1,0.9595147967,0.9588723183,0.9595147967,0,0.9588723183,0.9588723183,0.9595147967,-0.0006424785,0.0006424785,0.0000000000,1,1,0.0000000000,FSS-1000,,,
37_class-763,5,0.9302513599,0.9284969568,0.9366338253,0,0.9284969568,0.9284969568,0.9366338253,-0.0017544031,0.0017544031,0.0000000000,1,1,0.0000000000,FSS-1000,,,
38_class-763,2,0.9318205714,0.2403570861,0.9318205714,2,0.9318205714,0.2403570861,0.9318205714,0.0000000000,0.6914634854,0.6914634854,1,1,0.0000000000,FSS-1000,,,
39_class-763,3,0.9563407302,0.6209042072,0.9563407302,3,0.9563407302,0.6209042072,0.9563407302,0.0000000000,0.3354365230,0.3354365230,1,1,0.0000000000,FSS-1000,,,
40_class-764,2,0.9467599392,0.9468620420,0.9469438791,0,0.9468620420,0.9468620420,0.9469438791,0.0001021028,-0.0001021028,0.0000000000,0,1,1.0000000000,FSS-1000,,,
41_class-764,1,0.9401107430,0.9393417835,0.9401502609,1,0.9401107430,0.9393417835,0.9401502609,0.0000000000,0.0007689595,0.0007689595,1,1,0.0000000000,FSS-1000,,,
42_class-764,5,0.9237430096,0.9252240658,0.9259245396,0,0.9252240658,0.9252240658,0.9259245396,0.0014810562,-0.0014810562,0.0000000000,0,1,1.0000000000,FSS-1000,,,
43_class-764,5,0.9800943732,0.9799901247,0.9800943732,5,0.9800943732,0.9799901247,0.9800943732,0.0000000000,0.0001042485,0.0001042485,1,1,0.0000000000,FSS-1000,,,
44_class-764,0,0.9617199898,0.9617199898,0.9618936777,0,0.9617199898,0.9617199898,0.9618936777,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
45_class-764,1,0.8885607719,0.8843283653,0.8885607719,1,0.8885607719,0.8843283653,0.8885607719,0.0000000000,0.0042324066,0.0042324066,1,1,0.0000000000,FSS-1000,,,
46_class-764,2,0.9741259813,0.9739103913,0.9750037193,2,0.9741259813,0.9739103913,0.9750037193,0.0000000000,0.0002155900,0.0002155900,1,1,0.0000000000,FSS-1000,,,
47_class-764,2,0.9638526440,0.9634805918,0.9673990011,2,0.9638526440,0.9634805918,0.9673990011,0.0000000000,0.0003720522,0.0003720522,1,1,0.0000000000,FSS-1000,,,
48_class-764,0,0.9246959686,0.9246959686,0.9260923862,0,0.9246959686,0.9246959686,0.9260923862,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
49_class-764,0,0.9643192887,0.9643192887,0.9647750854,0,0.9643192887,0.9643192887,0.9647750854,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
50_class-765,5,0.9507881403,0.9510853291,0.9512680173,0,0.9510853291,0.9510853291,0.9512680173,0.0002971888,-0.0002971888,0.0000000000,0,1,1.0000000000,FSS-1000,,,
51_class-765,0,0.9181020260,0.9181020260,0.9181020260,0,0.9181020260,0.9181020260,0.9181020260,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
52_class-765,4,0.9022411704,0.9025169611,0.9031916857,0,0.9025169611,0.9025169611,0.9031916857,0.0002757907,-0.0002757907,0.0000000000,0,1,1.0000000000,FSS-1000,,,
53_class-765,4,0.9302923679,0.9548121095,0.9548121095,0,0.9548121095,0.9548121095,0.9548121095,0.0245197415,-0.0245197415,0.0000000000,0,1,1.0000000000,FSS-1000,,,
54_class-765,4,0.8209433556,0.8185479641,0.8210136890,0,0.8185479641,0.8185479641,0.8210136890,-0.0023953915,0.0023953915,0.0000000000,1,1,0.0000000000,FSS-1000,,,
55_class-765,3,0.8516353369,0.8670338988,0.9017467499,0,0.8670338988,0.8670338988,0.9017467499,0.0153985620,-0.0153985620,0.0000000000,0,1,1.0000000000,FSS-1000,,,
56_class-765,4,0.9266332388,0.9259343743,0.9268897176,0,0.9259343743,0.9259343743,0.9268897176,-0.0006988645,0.0006988645,0.0000000000,1,1,0.0000000000,FSS-1000,,,
