obj_name,PRMAGIC_1_best_iter
0_class-760,0
1_class-760,2
2_class-760,4
3_class-760,1
4_class-760,4
5_class-760,4
6_class-760,5
7_class-760,2
8_class-760,3
9_class-760,5
10_class-761,1
11_class-761,3
12_class-761,3
13_class-761,5
14_class-761,2
15_class-761,2
16_class-761,1
17_class-761,0
18_class-761,3
19_class-761,3
20_class-762,0
21_class-762,0
22_class-762,1
23_class-762,5
24_class-762,0
25_class-762,3
26_class-762,3
27_class-762,3
28_class-762,2
29_class-762,2
30_class-763,4
31_class-763,2
32_class-763,2
33_class-763,4
34_class-763,2
35_class-763,2
36_class-763,1
37_class-763,5
38_class-763,2
39_class-763,3
40_class-764,2
41_class-764,1
42_class-764,5
43_class-764,5
44_class-764,0
45_class-764,1
46_class-764,2
47_class-764,2
48_class-764,0
49_class-764,0
50_class-765,5
51_class-765,0
52_class-765,4
53_class-765,4
54_class-765,4
55_class-765,3
56_class-765,4
57_class-765,5
58_class-765,0
59_class-765,1
60_class-766,4
61_class-766,3
62_class-766,1
63_class-766,1
64_class-766,1
65_class-766,0
66_class-766,4
67_class-766,0
68_class-766,1
69_class-766,3
70_class-767,5
71_class-767,0
72_class-767,2
73_class-767,5
74_class-767,4
75_class-767,0
76_class-767,5
77_class-767,4
78_class-767,0
79_class-767,5
80_class-768,5
81_class-768,1
82_class-768,5
83_class-768,5
84_class-768,3
85_class-768,3
86_class-768,2
87_class-768,5
88_class-768,3
89_class-768,1
90_class-769,5
91_class-769,5
92_class-769,5
93_class-769,1
94_class-769,1
95_class-769,1
96_class-769,0
97_class-769,2
98_class-769,2
99_class-769,0
100_class-770,2
101_class-770,4
102_class-770,5
103_class-770,2
104_class-770,1
105_class-770,2
106_class-770,4
107_class-770,0
108_class-770,4
109_class-770,3
110_class-771,4
111_class-771,0
112_class-771,1
113_class-771,4
114_class-771,0
115_class-771,2
116_class-771,5
117_class-771,1
118_class-771,2
119_class-771,3
120_class-772,1
121_class-772,4
122_class-772,3
123_class-772,4
124_class-772,1
125_class-772,5
126_class-772,1
127_class-772,1
128_class-772,4
129_class-772,4
130_class-773,3
131_class-773,0
132_class-773,4
133_class-773,5
134_class-773,0
135_class-773,1
136_class-773,2
137_class-773,2
138_class-773,5
139_class-773,2
140_class-774,5
141_class-774,1
142_class-774,3
143_class-774,4
144_class-774,0
145_class-774,2
146_class-774,4
147_class-774,5
148_class-774,5
149_class-774,1
150_class-775,5
151_class-775,5
152_class-775,1
153_class-775,2
154_class-775,3
155_class-775,0
156_class-775,4
157_class-775,3
158_class-775,3
159_class-775,2
160_class-776,5
161_class-776,0
162_class-776,3
163_class-776,1
164_class-776,4
165_class-776,4
166_class-776,5
167_class-776,3
168_class-776,3
169_class-776,2
170_class-777,5
171_class-777,0
172_class-777,1
173_class-777,1
174_class-777,0
175_class-777,0
176_class-777,4
177_class-777,0
178_class-777,2
179_class-777,2
180_class-778,1
181_class-778,2
182_class-778,5
183_class-778,1
184_class-778,1
185_class-778,5
186_class-778,4
187_class-778,0
188_class-778,0
189_class-778,5
190_class-779,5
191_class-779,2
192_class-779,3
193_class-779,0
194_class-779,5
195_class-779,5
196_class-779,4
197_class-779,0
198_class-779,5
199_class-779,3
200_class-780,1
201_class-780,3
202_class-780,0
203_class-780,1
204_class-780,2
205_class-780,1
206_class-780,5
207_class-780,0
208_class-780,3
209_class-780,4
210_class-781,0
211_class-781,3
212_class-781,4
213_class-781,5
214_class-781,4
215_class-781,2
216_class-781,1
217_class-781,5
218_class-781,4
219_class-781,4
220_class-782,2
221_class-782,2
222_class-782,4
223_class-782,2
224_class-782,2
225_class-782,0
226_class-782,0
227_class-782,3
228_class-782,1
229_class-782,3
230_class-783,0
231_class-783,5
232_class-783,5
233_class-783,5
234_class-783,4
235_class-783,0
236_class-783,2
237_class-783,3
238_class-783,5
239_class-783,1
240_class-784,1
241_class-784,4
242_class-784,1
243_class-784,4
244_class-784,4
245_class-784,2
246_class-784,3
247_class-784,5
248_class-784,2
249_class-784,0
250_class-785,2
251_class-785,4
252_class-785,4
253_class-785,4
254_class-785,2
255_class-785,4
256_class-785,4
257_class-785,1
258_class-785,0
259_class-785,0
260_class-786,5
261_class-786,1
262_class-786,1
263_class-786,3
264_class-786,4
265_class-786,3
266_class-786,3
267_class-786,4
268_class-786,2
269_class-786,2
270_class-787,2
271_class-787,5
272_class-787,5
273_class-787,1
274_class-787,0
275_class-787,1
276_class-787,2
277_class-787,3
278_class-787,0
279_class-787,1
280_class-788,4
281_class-788,0
282_class-788,2
283_class-788,2
284_class-788,3
285_class-788,1
286_class-788,4
287_class-788,1
288_class-788,5
289_class-788,2
290_class-789,5
291_class-789,4
292_class-789,5
293_class-789,0
294_class-789,1
295_class-789,3
296_class-789,4
297_class-789,3
298_class-789,5
299_class-789,0
300_class-790,3
301_class-790,0
302_class-790,3
303_class-790,4
304_class-790,4
305_class-790,0
306_class-790,4
307_class-790,5
308_class-790,0
309_class-790,2
310_class-791,1
311_class-791,4
312_class-791,2
313_class-791,0
314_class-791,2
315_class-791,4
316_class-791,1
317_class-791,2
318_class-791,0
319_class-791,0
320_class-792,3
