sample_id,seed,obj_name,baseline_miou,original_miou,support_fg_miou,original_iter,support_fg_iter,support_fg_fallback,original_non_degraded,support_fg_non_degraded,delta_support_fg_vs_original,delta_original_vs_baseline,delta_support_fg_vs_baseline
seed42:0_class-0,42,0_class-0,0.93563366,0.64845699,0.93563366,4,0,1,0,1,0.28717667,-0.28717667,0.00000000
seed42:1_class-72,42,1_class-72,0.46048808,0.45974270,0.45974270,2,2,0,0,0,0.00000000,-0.00074539,-0.00074539
seed42:2_class-68,42,2_class-68,0.17855838,0.16494425,0.17855838,4,0,1,0,1,0.01361413,-0.01361413,0.00000000
seed42:3_class-76,42,3_class-76,0.16584797,0.17069978,0.17069978,5,5,0,1,1,0.00000000,0.00485180,0.00485180
seed42:4_class-36,42,4_class-36,0.41123778,0.41292289,0.41123778,4,0,1,1,1,-0.00168511,0.00168511,0.00000000
seed42:5_class-56,42,5_class-56,0.43368652,0.42660365,0.42660365,3,3,0,0,0,0.00000000,-0.00708288,-0.00708288
seed42:6_class-48,42,6_class-48,0.43423751,0.43462133,0.43462133,2,2,0,1,1,0.00000000,0.00038382,0.00038382
seed42:7_class-36,42,7_class-36,0.47438359,0.47388232,0.47438359,2,0,1,0,1,0.00050128,-0.00050128,0.00000000
seed42:8_class-40,42,8_class-40,0.80522037,0.96705437,0.96705437,4,4,0,1,1,0.00000000,0.16183400,0.16183400
seed42:9_class-4,42,9_class-4,0.94056576,0.94159067,0.94056576,2,0,1,1,1,-0.00102490,0.00102490,0.00000000
seed42:10_class-0,42,10_class-0,0.27117401,0.27117401,0.27117401,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed42:11_class-68,42,11_class-68,0.57266581,0.57266581,0.57266581,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed42:12_class-40,42,12_class-40,0.48552310,0.48552310,0.48552310,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed42:13_class-36,42,13_class-36,0.41702005,0.40900147,0.40900147,2,2,0,0,0,0.00000000,-0.00801858,-0.00801858
seed42:14_class-28,42,14_class-28,0.33438024,0.45744413,0.45744413,1,1,0,1,1,0.00000000,0.12306389,0.12306389
seed42:15_class-72,42,15_class-72,0.44300732,0.44300732,0.44300732,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed42:16_class-52,42,16_class-52,0.24892765,0.27884385,0.27884385,5,5,0,1,1,0.00000000,0.02991620,0.02991620
seed42:17_class-32,42,17_class-32,0.41689152,0.32749876,0.41689152,4,0,1,0,1,0.08939275,-0.08939275,0.00000000
