obj_name,PRMAGIC_1_best_iter
0_class-18,1
1_class-18,0
2_class-16,2
3_class-19,1
4_class-17,5
5_class-19,5
6_class-18,0
7_class-18,2
8_class-17,0
9_class-16,5
10_class-17,4
11_class-16,0
12_class-17,0
13_class-19,0
14_class-15,4
15_class-15,5
16_class-19,3
17_class-17,1
18_class-17,2
19_class-17,4
20_class-16,4
21_class-19,0
22_class-19,4
23_class-16,5
24_class-17,4
25_class-19,1
26_class-19,3
27_class-19,1
28_class-17,2
29_class-15,0
30_class-15,3
31_class-17,5
32_class-17,5
33_class-18,5
34_class-16,1
35_class-16,1
36_class-18,0
37_class-17,2
38_class-19,3
39_class-17,5
40_class-15,3
41_class-18,3
42_class-15,1
43_class-17,0
44_class-18,2
45_class-16,1
46_class-18,1
47_class-18,2
48_class-19,4
49_class-19,2
50_class-15,2
51_class-18,3
52_class-18,0
53_class-19,4
54_class-15,1
55_class-18,4
56_class-15,5
57_class-16,0
58_class-16,3
59_class-18,1
60_class-18,2
61_class-15,0
62_class-15,5
63_class-16,1
64_class-17,1
65_class-19,3
66_class-17,3
67_class-16,5
68_class-18,1
69_class-18,4
70_class-19,3
71_class-16,1
72_class-18,4
73_class-18,1
74_class-19,1
75_class-19,0
76_class-17,4
77_class-16,3
78_class-15,5
79_class-15,1
80_class-18,5
81_class-17,1
82_class-19,4
83_class-17,3
84_class-18,3
85_class-19,4
86_class-17,1
87_class-15,4
88_class-17,1
89_class-17,5
90_class-16,1
91_class-15,0
92_class-19,5
93_class-17,1
94_class-19,3
95_class-17,3
96_class-17,2
97_class-17,3
98_class-15,1
99_class-19,2
100_class-17,5
101_class-17,4
102_class-15,5
103_class-17,3
104_class-18,4
105_class-15,4
106_class-15,1
107_class-15,1
108_class-19,2
109_class-15,2
110_class-15,5
111_class-15,5
112_class-19,2
113_class-16,1
114_class-19,0
115_class-18,4
116_class-17,1
117_class-19,4
118_class-19,2
119_class-18,1
120_class-15,0
121_class-15,4
122_class-17,0
123_class-17,2
124_class-19,3
125_class-17,5
126_class-18,4
127_class-19,2
128_class-18,1
129_class-16,4
130_class-15,3
131_class-17,3
132_class-18,5
133_class-16,5
134_class-19,4
135_class-16,3
136_class-19,0
137_class-19,3
138_class-15,4
139_class-15,2
140_class-19,5
141_class-19,4
142_class-19,5
143_class-18,0
144_class-16,5
145_class-15,3
146_class-18,3
147_class-19,0
148_class-16,5
149_class-18,1
150_class-18,5
151_class-18,2
152_class-17,4
153_class-16,3
154_class-16,3
155_class-19,5
156_class-16,4
157_class-16,4
158_class-19,0
159_class-17,2
160_class-18,1
161_class-15,5
162_class-18,4
163_class-16,1
164_class-17,3
165_class-17,1
166_class-19,4
167_class-17,1
168_class-19,2
169_class-15,5
170_class-17,4
171_class-17,2
172_class-15,4
173_class-19,1
174_class-18,2
175_class-16,1
176_class-19,1
177_class-18,2
178_class-17,3
179_class-18,1
180_class-16,2
181_class-18,4
182_class-18,1
183_class-19,5
184_class-16,1
185_class-15,5
186_class-17,1
187_class-19,0
188_class-15,5
189_class-17,2
190_class-16,3
191_class-15,1
192_class-17,3
193_class-16,4
194_class-16,1
195_class-19,2
196_class-18,0
197_class-18,1
198_class-18,0
199_class-17,2
200_class-19,1
201_class-17,2
202_class-15,4
203_class-19,5
204_class-18,2
205_class-15,0
206_class-17,3
207_class-19,2
208_class-15,2
209_class-18,2
210_class-17,5
211_class-18,3
212_class-18,0
213_class-18,1
214_class-17,2
215_class-18,2
216_class-18,0
217_class-18,2
218_class-19,0
219_class-19,2
220_class-15,2
221_class-17,4
222_class-17,1
223_class-16,0
224_class-19,4
225_class-17,5
226_class-19,4
227_class-18,0
228_class-17,3
229_class-17,2
230_class-18,0
231_class-17,4
232_class-17,1
233_class-18,2
234_class-18,2
235_class-17,0
236_class-19,4
237_class-18,5
238_class-18,3
239_class-17,4
240_class-17,2
241_class-16,1
242_class-19,1
243_class-15,1
244_class-15,2
245_class-19,2
246_class-18,4
247_class-16,3
248_class-16,3
249_class-18,4
250_class-17,0
251_class-18,4
252_class-15,0
253_class-16,5
254_class-17,0
255_class-19,2
256_class-16,4
257_class-16,4
258_class-16,3
259_class-15,2
260_class-18,0
261_class-19,0
262_class-17,4
263_class-15,4
264_class-15,0
265_class-18,4
266_class-17,4
267_class-16,3
268_class-15,0
269_class-17,3
270_class-16,4
271_class-17,4
272_class-18,2
273_class-19,2
274_class-17,1
275_class-15,3
276_class-15,3
277_class-18,2
278_class-16,2
279_class-17,5
280_class-15,4
281_class-18,1
282_class-18,0
283_class-16,2
284_class-15,2
285_class-19,1
286_class-15,5
287_class-17,2
288_class-17,0
289_class-15,4
290_class-19,2
291_class-18,3
292_class-18,3
293_class-17,4
294_class-15,4
295_class-19,3
296_class-17,4
297_class-18,1
298_class-16,2
299_class-18,1
300_class-16,5
301_class-15,1
302_class-18,0
303_class-17,0
304_class-18,0
305_class-17,3
306_class-17,0
307_class-18,3
308_class-18,0
309_class-17,4
310_class-16,4
311_class-18,1
312_class-15,5
313_class-17,4
314_class-18,2
315_class-18,0
316_class-16,3
317_class-17,5
318_class-17,3
319_class-18,0
320_class-17,4
321_class-15,1
322_class-17,1
323_class-19,0
324_class-17,1
325_class-17,2
326_class-15,4
327_class-19,2
328_class-17,5
329_class-19,2
330_class-16,2
331_class-18,1
332_class-18,4
333_class-17,3
334_class-19,0
335_class-18,3
336_class-17,2
337_class-19,1
338_class-17,2
339_class-19,4
340_class-15,2
341_class-17,0
342_class-18,1
343_class-17,1
344_class-18,4
345_class-17,5
346_class-18,5
347_class-18,0
348_class-16,0
349_class-19,3
350_class-17,5
351_class-19,1
352_class-18,1
353_class-18,2
354_class-17,1
355_class-16,3
356_class-17,4
