fold,method,num_samples,mean_selected_miou,mean_baseline_miou,mean_oracle_miou,gain_over_baseline,non_degradation_rate,oracle_gap_closure,mean_selected_iter,fallback_rate
0,pascal_gate_none,300,0.708414,0.696936,0.794117,0.011478,0.423333,0.118114,2.590000,0.000000
0,pascal_gate_support_only,300,0.713674,0.696936,0.794117,0.016738,0.616667,0.172233,1.820000,0.246667
0,pascal_gate_fg_only,300,0.720351,0.696936,0.794117,0.023415,0.560000,0.240945,2.123333,0.153333
0,pascal_gate_support_fg,300,0.725088,0.696936,0.794117,0.028152,0.736667,0.289681,1.400000,0.383333
0,pascal_gate_support_decoder_fg,300,0.712614,0.696936,0.794117,0.015678,0.776667,0.161330,1.150000,0.466667
0,pascal_gate_all_four_2of4,300,0.712930,0.696936,0.794117,0.015994,0.480000,0.164577,2.376667,0.066667
1,pascal_gate_none,300,0.659983,0.678009,0.758923,-0.018026,0.373333,-0.222780,2.483333,0.000000
1,pascal_gate_support_only,300,0.663163,0.678009,0.758923,-0.014846,0.586667,-0.183477,1.723333,0.260000
1,pascal_gate_fg_only,300,0.665603,0.678009,0.758923,-0.012406,0.500000,-0.153321,1.970000,0.166667
1,pascal_gate_support_fg,300,0.667433,0.678009,0.758923,-0.010576,0.673333,-0.130710,1.323333,0.386667
1,pascal_gate_support_decoder_fg,300,0.671236,0.678009,0.758923,-0.006773,0.746667,-0.083709,1.020000,0.490000
1,pascal_gate_all_four_2of4,300,0.664467,0.678009,0.758923,-0.013542,0.470000,-0.167358,2.070000,0.126667
2,pascal_gate_none,300,0.617236,0.619801,0.737148,-0.002565,0.410000,-0.021858,2.576667,0.000000
2,pascal_gate_support_only,300,0.620864,0.619801,0.737148,0.001064,0.610000,0.009065,1.783333,0.276667
2,pascal_gate_fg_only,300,0.625067,0.619801,0.737148,0.005267,0.533333,0.044882,2.116667,0.160000
2,pascal_gate_support_fg,300,0.627171,0.619801,0.737148,0.007370,0.713333,0.062806,1.390000,0.416667
2,pascal_gate_support_decoder_fg,300,0.628841,0.619801,0.737148,0.009041,0.760000,0.077041,1.196667,0.493333
2,pascal_gate_all_four_2of4,300,0.622636,0.619801,0.737148,0.002835,0.473333,0.024163,2.360000,0.080000
3,pascal_gate_none,300,0.601613,0.615492,0.713019,-0.013878,0.416667,-0.142301,2.450000,0.000000
3,pascal_gate_support_only,300,0.601483,0.615492,0.713019,-0.014009,0.543333,-0.143638,1.956667,0.176667
3,pascal_gate_fg_only,300,0.611458,0.615492,0.713019,-0.004034,0.540000,-0.041359,1.976667,0.146667
3,pascal_gate_support_fg,300,0.610924,0.615492,0.713019,-0.004567,0.650000,-0.046830,1.546667,0.303333
3,pascal_gate_support_decoder_fg,300,0.609979,0.615492,0.713019,-0.005512,0.706667,-0.056521,1.236667,0.393333
3,pascal_gate_all_four_2of4,300,0.605277,0.615492,0.713019,-0.010215,0.470000,-0.104735,2.193333,0.076667
