fold,sample_id,obj_name,baseline_miou,original_miou,original_iter,original_non_degraded,original_fallback,original_delta_vs_baseline,original_delta_vs_original,support_fg_miou,support_fg_iter,support_fg_fallback,support_fg_non_degraded,support_fg_delta_vs_baseline,support_fg_delta_vs_original,support_decoder_fg_miou,support_decoder_fg_iter,support_decoder_fg_fallback,support_decoder_fg_non_degraded,support_decoder_fg_delta_vs_baseline,support_decoder_fg_delta_vs_original
0,fold0:0_class-0,0_class-0,0.91874409,0.88145596,4,0,0,-0.03728813,0.00000000,0.91874409,0,1,1,0.00000000,0.03728813,0.91874409,0,1,1,0.00000000,0.03728813
0,fold0:1_class-3,1_class-3,0.86745143,0.80044854,4,0,0,-0.06700289,0.00000000,0.86745143,0,1,1,0.00000000,0.06700289,0.86745143,0,1,1,0.00000000,0.06700289
0,fold0:2_class-1,2_class-1,0.74692959,0.70449185,4,0,0,-0.04243773,0.00000000,0.74692959,0,1,1,0.00000000,0.04243773,0.74692959,0,1,1,0.00000000,0.04243773
0,fold0:3_class-4,3_class-4,0.81716979,0.43094170,3,0,0,-0.38622808,0.00000000,0.81716979,0,1,1,0.00000000,0.38622808,0.81716979,0,1,1,0.00000000,0.38622808
0,fold0:4_class-3,4_class-3,0.44203976,0.34206441,5,0,0,-0.09997535,0.00000000,0.34206441,5,0,0,-0.09997535,0.00000000,0.44203976,0,1,1,0.00000000,0.09997535
0,fold0:5_class-4,5_class-4,0.29130042,0.28634465,1,0,0,-0.00495577,0.00000000,0.29130042,0,1,1,0.00000000,0.00495577,0.29130042,0,1,1,0.00000000,0.00495577
0,fold0:6_class-1,6_class-1,0.61238831,0.51467425,4,0,0,-0.09771407,0.00000000,0.51467425,4,0,0,-0.09771407,0.00000000,0.51467425,4,0,0,-0.09771407,0.00000000
0,fold0:7_class-4,7_class-4,0.31528011,0.27760214,4,0,0,-0.03767797,0.00000000,0.31528011,0,1,1,0.00000000,0.03767797,0.31528011,0,1,1,0.00000000,0.03767797
0,fold0:8_class-0,8_class-0,0.80233961,0.76172000,4,0,0,-0.04061961,0.00000000,0.80233961,0,1,1,0.00000000,0.04061961,0.80233961,0,1,1,0.00000000,0.04061961
0,fold0:9_class-2,9_class-2,0.00004750,0.91429865,2,1,0,0.91425116,0.00000000,0.91429865,2,0,1,0.91425116,0.00000000,0.91429865,2,0,1,0.91425116,0.00000000
0,fold0:10_class-1,10_class-1,0.73904282,0.62253630,2,0,0,-0.11650652,0.00000000,0.62253630,2,0,0,-0.11650652,0.00000000,0.62253630,2,0,0,-0.11650652,0.00000000
0,fold0:11_class-4,11_class-4,0.39533815,0.39533815,0,1,0,0.00000000,0.00000000,0.39533815,0,0,1,0.00000000,0.00000000,0.39533815,0,0,1,0.00000000,0.00000000
0,fold0:12_class-0,12_class-0,0.58029628,0.64912975,5,1,0,0.06883347,0.00000000,0.58029628,0,1,1,0.00000000,-0.06883347,0.58029628,0,1,1,0.00000000,-0.06883347
0,fold0:13_class-1,13_class-1,0.39949626,0.39424071,3,0,0,-0.00525555,0.00000000,0.39424071,3,0,0,-0.00525555,0.00000000,0.39424071,3,0,0,-0.00525555,0.00000000
